"Device type","Page views","Site sessions","Unique visitors","Avg. pages per session","Avg. session duration"
"Mobile","9,637","8,721","5,320","1","6m, 30s"
"Desktop","2,208","1,994","1,647","1","4m, 54s"
"Tablet","16","14","12","1","2m, 52s"
