"Device type","Page views","Site sessions","Unique visitors","Avg. pages per session","Avg. session duration"
"Mobile","15,125","13,450","7,673","1","7m, 46s"
"Desktop","3,090","2,802","2,340","1","5m, 42s"
"Tablet","22","20","19","1","1m, 13s"
