"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"12/02/2023","45","3","0","0"
"11/02/2023","44","4","0","0"
"10/02/2023","65","13","0","0"
"09/02/2023","39","4","0","0"
"08/02/2023","52","7","0","0"
"07/02/2023","58","7","0","0"
"06/02/2023","71","9","0","0"
"04/02/2023","61","4","0","0"
"03/02/2023","62","6","0","0"
"02/02/2023","44","3","0","0"
"01/02/2023","46","6","0","0"
"31/01/2023","50","5","0","0"
"30/01/2023","66","6","0","0"
"29/01/2023","24","2","0","0"
"28/01/2023","30","2","0","0"
"27/01/2023","65","8","0","0"
"26/01/2023","68","10","0","0"
"25/01/2023","82","19","0","0"
"24/01/2023","62","13","0","0"
"23/01/2023","70","12","0","0"
"21/01/2023","38","10","0","0"
"20/01/2023","70","10","0","0"
"19/01/2023","67","13","0","0"
"18/01/2023","54","6","0","0"
"17/01/2023","55","8","0","0"
"16/01/2023","100","17","0","0"
"15/01/2023","31","3","0","0"
"14/01/2023","51","9","0","0"
"13/01/2023","81","14","0","0"
"12/01/2023","71","13","0","0"
"11/01/2023","73","14","0","0"
"10/01/2023","58","13","0","0"
"09/01/2023","103","21","0","0"
"08/01/2023","41","2","0","0"
"07/01/2023","47","10","0","0"
"06/01/2023","71","9","0","0"
"05/01/2023","66","11","0","0"
"04/01/2023","52","6","0","0"
"03/01/2023","67","9","0","0"
"02/01/2023","73","13","0","0"
"01/01/2023","33","6","0","0"
"31/12/2022","42","11","0","0"
"30/12/2022","56","6","0","0"
"29/12/2022","55","9","0","0"
"28/12/2022","76","8","0","0"
"27/12/2022","75","11","0","0"
"26/12/2022","90","26","0","0"
"24/12/2022","32","5","0","0"
"23/12/2022","33","8","0","0"
"22/12/2022","57","8","0","0"
"21/12/2022","47","8","0","0"
"20/12/2022","51","4","0","0"
"19/12/2022","70","10","0","0"
"18/12/2022","43","5","0","0"
"17/12/2022","39","4","0","0"
"16/12/2022","72","7","0","0"
"15/12/2022","48","9","0","0"
"14/12/2022","41","5","0","0"
"13/12/2022","35","4","0","0"
"12/12/2022","77","18","0","0"
"11/12/2022","29","2","0","0"
"10/12/2022","22","2","0","0"
"09/12/2022","49","8","0","0"
"08/12/2022","54","6","0","0"
"07/12/2022","60","10","0","0"
"06/12/2022","60","6","0","0"
"05/12/2022","76","19","0","0"
"04/12/2022","34","4","0","0"
"03/12/2022","34","1","0","0"
"02/12/2022","41","6","0","0"
"01/12/2022","55","7","0","0"
"30/11/2022","64","9","0","0"
"29/11/2022","65","12","0","0"
"28/11/2022","104","21","0","0"
"27/11/2022","34","2","0","0"
"26/11/2022","37","2","0","0"
"25/11/2022","44","9","0","0"
"24/11/2022","34","4","0","0"
"23/11/2022","59","6","0","0"
"22/11/2022","63","6","0","0"
"21/11/2022","75","14","0","0"
"20/11/2022","27","1","0","0"
"19/11/2022","42","4","0","0"
"18/11/2022","62","8","0","0"
"17/11/2022","54","5","0","0"
"16/11/2022","76","6","0","0"
"15/11/2022","60","6","0","0"
"14/11/2022","61","7","0","0"
"13/11/2022","28","3","0","0"
"12/11/2022","51","5","0","0"
"11/11/2022","58","10","0","0"
"10/11/2022","41","6","0","0"
"09/11/2022","47","2","0","0"
"08/11/2022","52","5","0","0"
"07/11/2022","56","8","0","0"
"06/11/2022","43","2","0","0"
"05/11/2022","58","10","0","0"
"04/11/2022","69","7","0","0"
"03/11/2022","69","10","0","0"
"02/11/2022","54","8","0","0"
"01/11/2022","54","7","0","0"
"31/10/2022","67","12","0","0"
"30/10/2022","27","3","0","0"
"29/10/2022","54","6","0","0"
"28/10/2022","67","9","0","0"
"27/10/2022","57","3","0","0"
"26/10/2022","51","5","0","0"
"25/10/2022","91","12","0","0"
"24/10/2022","82","15","0","0"
"23/10/2022","49","4","0","0"
"22/10/2022","63","8","0","0"
"21/10/2022","83","10","0","0"
