"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"12/02/2022","23","3","0","0"
"11/02/2022","61","9","0","0"
"10/02/2022","42","5","0","0"
"09/02/2022","45","6","0","0"
"08/02/2022","48","2","0","0"
"07/02/2022","60","4","0","0"
"06/02/2022","30","3","0","0"
"05/02/2022","26","1","0","0"
"04/02/2022","42","5","0","0"
"03/02/2022","66","11","0","0"
"02/02/2022","46","8","0","0"
"01/02/2022","20","1","0","0"
"31/01/2022","50","9","0","0"
"30/01/2022","24","2","0","0"
"29/01/2022","25","3","0","0"
"28/01/2022","70","9","0","0"
"27/01/2022","63","7","0","0"
"26/01/2022","56","7","0","0"
"25/01/2022","42","3","0","0"
"24/01/2022","78","11","0","0"
"23/01/2022","31","1","0","0"
"22/01/2022","42","3","0","0"
"21/01/2022","47","3","0","0"
"20/01/2022","46","5","0","0"
"19/01/2022","57","3","0","0"
"17/01/2022","59","7","0","0"
"16/01/2022","37","2","0","0"
"15/01/2022","53","7","0","0"
"14/01/2022","70","4","0","0"
"13/01/2022","48","4","0","0"
"12/01/2022","43","2","0","0"
"11/01/2022","41","4","0","0"
"10/01/2022","53","6","0","0"
"09/01/2022","35","1","0","0"
"08/01/2022","43","6","0","0"
"07/01/2022","48","5","0","0"
"06/01/2022","42","5","0","0"
"05/01/2022","50","6","0","0"
"04/01/2022","53","8","0","0"
"03/01/2022","67","10","0","0"
"02/01/2022","40","2","0","0"
"01/01/2022","31","4","0","0"
"31/12/2021","49","10","0","0"
"30/12/2021","44","8","0","0"
"29/12/2021","42","5","0","0"
"28/12/2021","51","5","0","0"
"27/12/2021","73","7","0","0"
"26/12/2021","27","1","0","0"
"25/12/2021","35","6","0","0"
"24/12/2021","48","6","0","0"
"23/12/2021","44","8","0","0"
"22/12/2021","36","5","0","0"
"21/12/2021","46","2","0","0"
"20/12/2021","53","10","0","0"
"18/12/2021","24","1","0","0"
"17/12/2021","58","6","0","0"
"16/12/2021","44","8","0","0"
"15/12/2021","45","6","0","0"
"14/12/2021","46","3","0","0"
"13/12/2021","51","9","0","0"
"12/12/2021","27","2","0","0"
"11/12/2021","34","5","0","0"
"10/12/2021","52","9","0","0"
"09/12/2021","41","2","0","0"
"08/12/2021","58","5","0","0"
"07/12/2021","34","6","0","0"
"06/12/2021","66","12","0","0"
"05/12/2021","44","4","0","0"
"04/12/2021","35","3","0","0"
"03/12/2021","52","11","0","0"
"02/12/2021","57","8","0","0"
"01/12/2021","44","7","0","0"
"30/11/2021","36","5","0","0"
"29/11/2021","68","8","0","0"
"27/11/2021","23","4","0","0"
"26/11/2021","38","5","0","0"
"25/11/2021","30","5","0","0"
"24/11/2021","22","1","0","0"
"23/11/2021","35","2","0","0"
"22/11/2021","35","7","0","0"
"21/11/2021","17","1","0","0"
"20/11/2021","27","3","0","0"
"19/11/2021","44","6","0","0"
"18/11/2021","37","5","0","0"
"16/11/2021","49","5","0","0"
"15/11/2021","42","7","0","0"
"14/11/2021","19","1","0","0"
"13/11/2021","29","6","0","0"
"12/11/2021","36","7","0","0"
"11/11/2021","26","6","0","0"
"10/11/2021","33","5","0","0"
"09/11/2021","39","5","0","0"
"08/11/2021","35","5","0","0"
"05/11/2021","52","10","0","0"
"04/11/2021","24","1","0","0"
"03/11/2021","24","4","0","0"
"02/11/2021","31","3","0","0"
"01/11/2021","30","1","0","0"
"31/10/2021","28","1","0","0"
"30/10/2021","23","3","0","0"
"29/10/2021","33","5","0","0"
"28/10/2021","21","3","0","0"
"27/10/2021","24","2","0","0"
"25/10/2021","43","6","0","0"
"24/10/2021","22","2","0","0"
"23/10/2021","31","4","0","0"
"22/10/2021","35","4","0","0"
"21/10/2021","28","2","0","0"
"20/10/2021","24","3","0","0"
"19/10/2021","31","5","0","0"
"18/10/2021","35","3","0","0"
"17/10/2021","14","3","0","0"
"16/10/2021","27","2","0","0"
"15/10/2021","23","6","0","0"
"14/10/2021","27","4","0","0"
"13/10/2021","29","3","0","0"
"12/10/2021","28","6","0","0"
"11/10/2021","31","5","0","0"
"10/10/2021","25","2","0","0"
"09/10/2021","21","1","0","0"
"08/10/2021","23","3","0","0"
"07/10/2021","24","4","0","0"
"06/10/2021","39","3","0","0"
"05/10/2021","23","5","0","0"
"04/10/2021","33","7","0","0"
"03/10/2021","15","3","0","0"
"02/10/2021","16","1","0","0"
"01/10/2021","22","4","0","0"
