"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"12/02/2024","56","13","0","0"
"11/02/2024","21","2","0","0"
"10/02/2024","14","4","0","0"
"09/02/2024","26","8","0","0"
"08/02/2024","40","5","0","0"
"07/02/2024","42","7","0","0"
"06/02/2024","53","8","0","0"
"05/02/2024","88","10","0","0"
"04/02/2024","23","1","0","0"
"03/02/2024","29","1","0","0"
"02/02/2024","55","7","0","0"
"01/02/2024","53","5","0","0"
"31/01/2024","66","13","0","0"
"30/01/2024","49","5","0","0"
"29/01/2024","83","15","0","0"
"28/01/2024","39","1","0","0"
"27/01/2024","29","5","0","0"
"26/01/2024","66","10","0","0"
"25/01/2024","45","8","0","0"
"24/01/2024","36","4","0","0"
"23/01/2024","40","8","0","0"
"22/01/2024","71","13","0","0"
"21/01/2024","33","1","0","0"
"20/01/2024","22","4","0","0"
"19/01/2024","47","6","0","0"
"18/01/2024","53","5","0","0"
"17/01/2024","77","6","0","0"
"16/01/2024","55","5","0","0"
"15/01/2024","62","10","0","0"
"14/01/2024","42","2","0","0"
"13/01/2024","42","5","0","0"
"12/01/2024","50","15","0","0"
"11/01/2024","49","5","0","0"
"10/01/2024","49","3","0","0"
"09/01/2024","44","3","0","0"
"08/01/2024","71","14","0","0"
"07/01/2024","24","3","0","0"
"06/01/2024","31","3","0","0"
"05/01/2024","44","4","0","0"
"04/01/2024","42","5","0","0"
"03/01/2024","47","9","0","0"
"02/01/2024","61","13","0","0"
"01/01/2024","36","5","0","0"
"30/12/2023","35","9","0","0"
"29/12/2023","44","5","0","0"
"28/12/2023","38","9","0","0"
"27/12/2023","43","5","0","0"
"26/12/2023","56","8","0","0"
"25/12/2023","35","3","0","0"
"24/12/2023","17","1","0","0"
"23/12/2023","36","6","0","0"
"22/12/2023","63","11","0","0"
"21/12/2023","44","6","0","0"
"20/12/2023","66","5","0","0"
"19/12/2023","51","10","0","0"
"18/12/2023","29","8","0","0"
"16/12/2023","33","2","0","0"
"15/12/2023","34","6","0","0"
"14/12/2023","42","5","0","0"
"13/12/2023","31","4","0","0"
"12/12/2023","38","4","0","0"
"11/12/2023","51","7","0","0"
"10/12/2023","16","2","0","0"
"08/12/2023","46","11","0","0"
"07/12/2023","39","6","0","0"
"06/12/2023","37","4","0","0"
"05/12/2023","34","5","0","0"
"04/12/2023","58","10","0","0"
"03/12/2023","19","2","0","0"
"02/12/2023","31","3","0","0"
"01/12/2023","53","11","0","0"
"30/11/2023","33","2","0","0"
"29/11/2023","55","6","0","0"
"28/11/2023","62","10","0","0"
"27/11/2023","62","14","0","0"
"26/11/2023","19","2","0","0"
"25/11/2023","33","3","0","0"
"24/11/2023","28","1","0","0"
