"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"31/07/2025","23","2","0","0"
"30/07/2025","34","7","0","0"
"29/07/2025","28","2","0","0"
"28/07/2025","41","9","0","0"
"26/07/2025","15","3","0","0"
"25/07/2025","32","6","0","0"
"24/07/2025","35","4","0","0"
"23/07/2025","18","5","0","0"
"21/07/2025","29","4","0","0"
"20/07/2025","22","2","0","0"
"19/07/2025","14","3","0","0"
"18/07/2025","27","2","0","0"
"17/07/2025","20","1","0","0"
"16/07/2025","43","6","0","0"
"15/07/2025","24","4","0","0"
"14/07/2025","44","4","0","0"
"12/07/2025","21","2","0","0"
"11/07/2025","25","4","0","0"
"10/07/2025","34","4","0","0"
"09/07/2025","29","2","0","0"
"08/07/2025","30","3","0","0"
"07/07/2025","36","7","0","0"
"06/07/2025","29","1","0","0"
"05/07/2025","25","1","0","0"
"04/07/2025","37","6","0","0"
"03/07/2025","29","3","0","0"
"02/07/2025","34","3","0","0"
"01/07/2025","33","4","0","0"
"30/06/2025","44","5","0","0"
"29/06/2025","31","2","0","0"
"27/06/2025","36","5","0","0"
"26/06/2025","26","2","0","0"
"25/06/2025","32","1","0","0"
"24/06/2025","46","3","0","0"
"23/06/2025","49","13","0","0"
"22/06/2025","17","1","0","0"
"21/06/2025","23","7","0","0"
"20/06/2025","20","2","0","0"
"19/06/2025","40","5","0","0"
"18/06/2025","21","1","0","0"
"17/06/2025","35","2","0","0"
"16/06/2025","38","10","0","0"
"15/06/2025","15","1","0","0"
"14/06/2025","15","3","0","0"
"13/06/2025","43","6","0","0"
"12/06/2025","36","6","0","0"
"11/06/2025","38","4","0","0"
"10/06/2025","32","6","0","0"
"09/06/2025","46","6","0","0"
"08/06/2025","25","3","0","0"
"07/06/2025","26","4","0","0"
"06/06/2025","49","6","0","0"
"04/06/2025","38","5","0","0"
"03/06/2025","33","5","0","0"
"02/06/2025","43","8","0","0"
"01/06/2025","18","2","0","0"
"30/05/2025","38","7","0","0"
"29/05/2025","35","7","0","0"
"28/05/2025","38","2","0","0"
"27/05/2025","41","3","0","0"
"26/05/2025","45","9","0","0"
"25/05/2025","19","2","0","0"
"24/05/2025","22","5","0","0"
"23/05/2025","35","7","0","0"
"22/05/2025","23","2","0","0"
"21/05/2025","55","2","0","0"
"20/05/2025","48","5","0","0"
"19/05/2025","70","7","0","0"
"18/05/2025","24","1","0","0"
"17/05/2025","31","8","0","0"
"16/05/2025","36","12","0","0"
"15/05/2025","36","4","0","0"
"14/05/2025","37","3","0","0"
"13/05/2025","51","9","0","0"
"12/05/2025","25","1","0","0"
"11/05/2025","27","1","0","0"
"10/05/2025","27","4","0","0"
"09/05/2025","34","9","0","0"
"08/05/2025","34","2","0","0"
"07/05/2025","29","4","0","0"
"06/05/2025","34","6","0","0"
"05/05/2025","45","8","0","0"
"04/05/2025","26","2","0","0"
"03/05/2025","18","4","0","0"
"02/05/2025","49","7","0","0"
"01/05/2025","24","5","0","0"
"30/04/2025","40","7","0","0"
"29/04/2025","28","5","0","0"
"28/04/2025","32","4","0","0"
"27/04/2025","12","1","0","0"
"26/04/2025","30","7","0","0"
"25/04/2025","22","3","0","0"
"24/04/2025","31","4","0","0"
"23/04/2025","34","1","0","0"
"22/04/2025","29","3","0","0"
