"Date","Site sessions","Phone clicked","Email clicked","Whatsapp clicked"
"12/02/2025","34","6","0","0"
"11/02/2025","34","4","0","0"
"10/02/2025","42","12","0","0"
"08/02/2025","31","5","0","0"
"07/02/2025","34","3","0","0"
"06/02/2025","29","4","0","0"
"05/02/2025","49","14","0","0"
"04/02/2025","43","6","0","0"
"03/02/2025","56","10","0","0"
"02/02/2025","17","1","0","0"
"01/02/2025","33","2","0","0"
"31/01/2025","64","8","0","0"
"29/01/2025","19","7","0","0"
"28/01/2025","17","2","0","0"
"27/01/2025","29","2","0","0"
"26/01/2025","20","1","0","0"
"25/01/2025","17","2","0","0"
"24/01/2025","33","6","0","0"
"23/01/2025","28","4","0","0"
"22/01/2025","25","3","0","0"
"21/01/2025","31","3","0","0"
"20/01/2025","55","13","0","0"
"19/01/2025","20","1","0","0"
"18/01/2025","15","1","0","0"
"17/01/2025","30","6","0","0"
"16/01/2025","19","2","0","0"
"15/01/2025","37","5","0","0"
"14/01/2025","26","1","0","0"
"13/01/2025","61","15","0","0"
"12/01/2025","19","1","0","0"
"11/01/2025","32","4","0","0"
"10/01/2025","31","6","0","0"
"09/01/2025","30","2","0","0"
"08/01/2025","50","11","0","0"
"06/01/2025","46","11","0","0"
"05/01/2025","27","3","0","0"
"04/01/2025","27","7","0","0"
"03/01/2025","55","12","0","0"
"02/01/2025","47","11","0","0"
"01/01/2025","24","4","0","0"
"31/12/2024","27","6","0","0"
"30/12/2024","33","10","0","0"
"29/12/2024","25","1","0","0"
"28/12/2024","24","6","0","0"
"27/12/2024","26","3","0","0"
"26/12/2024","30","2","0","0"
"25/12/2024","15","3","0","0"
"24/12/2024","24","6","0","0"
"23/12/2024","36","9","0","0"
"21/12/2024","30","4","0","0"
"20/12/2024","27","6","0","0"
"19/12/2024","31","7","0","0"
"18/12/2024","23","2","0","0"
"16/12/2024","47","14","0","0"
"15/12/2024","21","1","0","0"
"14/12/2024","22","3","0","0"
"13/12/2024","33","4","0","0"
"12/12/2024","42","3","0","0"
"11/12/2024","39","3","0","0"
"10/12/2024","33","7","0","0"
"09/12/2024","59","13","0","0"
"08/12/2024","23","4","0","0"
"07/12/2024","24","5","0","0"
"06/12/2024","43","13","0","0"
"05/12/2024","27","1","0","0"
"04/12/2024","43","14","0","0"
"03/12/2024","39","6","0","0"
"02/12/2024","60","7","0","0"
"01/12/2024","14","4","0","0"
"30/11/2024","19","3","0","0"
"29/11/2024","30","2","0","0"
"28/11/2024","38","6","0","0"
"27/11/2024","47","6","0","0"
"26/11/2024","36","6","0","0"
"25/11/2024","33","6","0","0"
"24/11/2024","28","2","0","0"
"23/11/2024","16","1","0","0"
"22/11/2024","31","3","0","0"
"21/11/2024","20","2","0","0"
"20/11/2024","37","7","0","0"
"19/11/2024","36","5","0","0"
"18/11/2024","45","7","0","0"
"17/11/2024","9","1","0","0"
"16/11/2024","16","3","0","0"
"15/11/2024","27","2","0","0"
"14/11/2024","36","4","0","0"
"13/11/2024","23","5","0","0"
"12/11/2024","23","3","0","0"
"11/11/2024","61","14","0","0"
"10/11/2024","25","4","0","0"
"08/11/2024","34","6","0","0"
"07/11/2024","31","3","0","0"
"06/11/2024","26","1","0","0"
"05/11/2024","32","4","0","0"
"04/11/2024","61","9","0","0"
"03/11/2024","23","4","0","0"
"02/11/2024","34","5","0","0"
"01/11/2024","50","10","0","0"
"31/10/2024","38","7","0","0"
"30/10/2024","35","4","0","0"
"29/10/2024","30","3","0","0"
"28/10/2024","46","7","0","0"
"27/10/2024","18","1","0","0"
"26/10/2024","25","4","0","0"
"25/10/2024","37","8","0","0"
"24/10/2024","30","3","0","0"
"23/10/2024","31","2","0","0"
"22/10/2024","29","6","0","0"
"21/10/2024","54","11","0","0"
"20/10/2024","25","2","0","0"
"19/10/2024","18","1","0","0"
"16/10/2024","39","5","0","0"
"15/10/2024","41","7","0","0"
"14/10/2024","50","11","0","0"
"13/10/2024","22","1","0","0"
"12/10/2024","30","5","0","0"
"11/10/2024","50","7","0","0"
"10/10/2024","43","7","0","0"
"09/10/2024","36","5","0","0"
"08/10/2024","38","5","0","0"
"07/10/2024","60","11","0","0"
"06/10/2024","21","2","0","0"
"05/10/2024","27","2","0","0"
"04/10/2024","41","1","0","0"
"03/10/2024","30","5","0","0"
"02/10/2024","26","2","0","0"
"01/10/2024","37","4","0","0"
"30/09/2024","39","10","0","0"
"29/09/2024","28","2","0","0"
"28/09/2024","19","3","0","0"
"27/09/2024","31","5","0","0"
"26/09/2024","29","3","0","0"
"25/09/2024","35","5","0","0"
"24/09/2024","39","6","0","0"
"23/09/2024","31","8","0","0"
"22/09/2024","13","1","0","0"
"21/09/2024","19","1","0","0"
"20/09/2024","19","4","0","0"
"19/09/2024","37","3","0","0"
"18/09/2024","36","2","0","0"
"17/09/2024","31","3","0","0"
"16/09/2024","44","6","0","0"
"14/09/2024","16","1","0","0"
"13/09/2024","50","4","0","0"
"12/09/2024","36","3","0","0"
"11/09/2024","49","10","0","0"
"10/09/2024","37","4","0","0"
"09/09/2024","56","14","0","0"
"08/09/2024","19","3","0","0"
"07/09/2024","26","6","0","0"
"06/09/2024","35","8","0","0"
"05/09/2024","41","4","0","0"
"04/09/2024","37","7","0","0"
"03/09/2024","34","2","0","0"
"02/09/2024","54","16","0","0"
"31/08/2024","25","7","0","0"
"30/08/2024","41","2","0","0"
"29/08/2024","24","2","0","0"
"28/08/2024","30","2","0","0"
"27/08/2024","55","9","0","0"
"26/08/2024","52","9","0","0"
"25/08/2024","19","4","0","0"
"24/08/2024","22","4","0","0"
"23/08/2024","51","3","0","0"
"22/08/2024","27","3","0","0"
"21/08/2024","35","5","0","0"
"20/08/2024","21","3","0","0"
"19/08/2024","39","6","0","0"
"18/08/2024","14","1","0","0"
"17/08/2024","21","3","0","0"
"16/08/2024","33","6","0","0"
"15/08/2024","39","4","0","0"
"14/08/2024","33","1","0","0"
"13/08/2024","32","4","0","0"
"12/08/2024","54","7","0","0"
"11/08/2024","18","1","0","0"
"10/08/2024","22","2","0","0"
"08/08/2024","22","2","0","0"
"07/08/2024","39","6","0","0"
"06/08/2024","36","2","0","0"
"05/08/2024","57","10","0","0"
"04/08/2024","19","4","0","0"
"03/08/2024","23","4","0","0"
"02/08/2024","26","2","0","0"
"01/08/2024","25","2","0","0"
"31/07/2024","28","5","0","0"
"30/07/2024","31","3","0","0"
"29/07/2024","58","12","0","0"
"28/07/2024","21","2","0","0"
"27/07/2024","25","2","0","0"
"26/07/2024","49","9","0","0"
"25/07/2024","31","3","0","0"
"24/07/2024","36","4","0","0"
"23/07/2024","39","6","0","0"
"22/07/2024","37","6","0","0"
"21/07/2024","27","1","0","0"
"20/07/2024","27","2","0","0"
"19/07/2024","47","6","0","0"
"18/07/2024","46","3","0","0"
"17/07/2024","38","7","0","0"
"16/07/2024","43","6","0","0"
"15/07/2024","68","16","0","0"
"14/07/2024","22","4","0","0"
"13/07/2024","27","2","0","0"
"12/07/2024","46","7","0","0"
"11/07/2024","50","4","0","0"
"10/07/2024","38","4","0","0"
"09/07/2024","41","6","0","0"
"08/07/2024","56","7","0","0"
"07/07/2024","17","1","0","0"
"06/07/2024","18","2","0","0"
"05/07/2024","49","6","0","0"
"04/07/2024","38","6","0","0"
"03/07/2024","36","7","0","0"
"02/07/2024","38","7","0","0"
"01/07/2024","49","6","0","0"
"29/06/2024","20","4","0","0"
"28/06/2024","53","4","0","0"
"27/06/2024","45","5","0","0"
"26/06/2024","36","5","0","0"
"25/06/2024","38","3","0","0"
"24/06/2024","57","8","0","0"
"23/06/2024","19","2","0","0"
"21/06/2024","55","8","0","0"
"20/06/2024","33","5","0","0"
"19/06/2024","45","8","0","0"
"18/06/2024","56","9","0","0"
"17/06/2024","41","6","0","0"
"15/06/2024","28","4","0","0"
"14/06/2024","30","8","0","0"
"13/06/2024","35","5","0","0"
"12/06/2024","53","7","0","0"
