"Country","Page views","Site sessions","Unique visitors"
"Singapore","5,163","4,279","2,921"
"United States","24","20","18"
"India","19","15","13"
"Unknown","18","13","10"
"Philippines","6","6","5"
"Australia","6","5","5"
"Indonesia","4","4","2"
"Hong Kong","5","4","4"
"Malaysia","4","4","3"
"China","3","3","3"
"Canada","2","2","2"
"Germany","2","2","2"
"Japan","2","2","2"
"United Kingdom","2","2","2"
"Saudi Arabia","1","1","1"
"Netherlands","1","1","1"
"Switzerland","2","1","1"
"Sri Lanka","1","1","1"
"Denmark","2","1","1"
"Ukraine","3","1","1"
