"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"02/10/2020","19","16","14","88%","17m, 8s"
"01/10/2020","13","13","13","100%",
"30/09/2020","14","12","11","83%","5m, 54s"
"29/09/2020","15","15","13","100%",
"28/09/2020","30","24","22","75%","6m, 167ms"
"27/09/2020","8","8","8","100%",
"26/09/2020","18","16","15","88%","24m, 44s"
"25/09/2020","28","27","25","96%","4m, 40s"
"24/09/2020","17","15","15","87%","26s"
"23/09/2020","27","24","21","92%","6m, 51s"
"22/09/2020","20","17","16","94%","48m, 23s"
"21/09/2020","50","45","35","89%","6m, 7s"
"20/09/2020","18","18","15","100%",
"19/09/2020","14","13","12","92%","26m, 28s"
"18/09/2020","19","16","16","81%","1m, 25s"
"17/09/2020","16","14","12","86%","2m, 15s"
"16/09/2020","18","18","16","100%",
"14/09/2020","18","16","15","94%","8m, 22s"
"13/09/2020","24","17","15","71%","4m, 58s"
"12/09/2020","17","14","12","86%","20m, 47s"
"11/09/2020","16","15","9","93%","37s"
"10/09/2020","17","14","12","86%","1m, 15s"
"09/09/2020","12","11","10","91%","28m, 38s"
"08/09/2020","19","18","14","94%","4m, 17s"
"07/09/2020","48","36","22","78%","12m, 50s"
"06/09/2020","9","9","9","100%",
"05/09/2020","5","5","5","100%",
"04/09/2020","18","16","13","88%","16m, 41s"
"03/09/2020","12","12","10","100%",
"02/09/2020","8","7","7","86%","27m, 41s"
"01/09/2020","15","14","13","93%","36s"
"31/08/2020","17","13","12","77%","11m, 24s"
"30/08/2020","8","7","5","86%","3m, 39s"
"29/08/2020","5","5","5","100%",
"28/08/2020","22","20","16","90%","8m, 34s"
"27/08/2020","16","14","11","86%","17m, 29s"
"26/08/2020","15","15","12","100%",
"25/08/2020","9","8","7","88%","7m, 52s"
"24/08/2020","17","16","13","94%","1m"
"23/08/2020","7","7","7","100%",
"22/08/2020","3","3","3","100%",
"21/08/2020","8","7","6","86%","22m, 12s"
"20/08/2020","16","16","14","100%",
"19/08/2020","20","18","14","89%","1m, 1s"
"18/08/2020","18","16","14","88%","5m, 3s"
"17/08/2020","26","24","18","92%","10m, 39s"
"16/08/2020","5","5","4","100%",
"15/08/2020","13","12","11","92%","1m, 9s"
"14/08/2020","13","10","9","80%","26m, 2s"
"13/08/2020","20","17","15","88%","2m, 34s"
"12/08/2020","17","17","13","100%",
"11/08/2020","11","10","8","90%","3m, 28s"
"10/08/2020","14","12","12","83%","8m, 39s"
"09/08/2020","7","5","5","60%","49s"
"08/08/2020","3","3","3","100%",
"07/08/2020","15","13","8","85%","1m, 25s"
"06/08/2020","11","10","9","90%","1m, 13s"
"05/08/2020","21","18","8","83%","13m, 31s"
"04/08/2020","21","19","12","89%","16m, 45s"
"03/08/2020","14","13","11","92%","1m, 35s"
"02/08/2020","10","9","7","89%","1m, 27s"
"01/08/2020","14","13","10","92%","9m, 23s"
"31/07/2020","12","8","6","63%","8m, 51s"
"30/07/2020","12","11","10","91%","13s"
"29/07/2020","17","14","11","79%","4m, 54s"
"28/07/2020","13","12","9","92%","5m, 2s"
"27/07/2020","12","11","11","91%","1m, 17s"
"26/07/2020","7","7","7","100%",
"25/07/2020","12","10","9","80%","12m, 53s"
"24/07/2020","21","18","18","83%","9m, 55s"
"23/07/2020","16","15","11","100%","1s"
"22/07/2020","34","21","14","67%","7m, 9s"
"21/07/2020","16","13","11","77%","13m, 3s"
"20/07/2020","13","12","10","92%","11s"
"19/07/2020","10","10","9","100%",
"18/07/2020","6","5","4","80%","1m, 8s"
"17/07/2020","23","19","17","84%","3m, 26s"
"16/07/2020","11","11","9","100%",
"15/07/2020","14","12","12","83%","6m, 23s"
"14/07/2020","3","3","3","100%",
"13/07/2020","21","18","16","89%","11m, 5s"
"12/07/2020","4","4","2","100%",
"11/07/2020","14","14","12","100%",
"10/07/2020","10","10","9","100%",
"09/07/2020","7","6","6","83%","1m, 55s"
"08/07/2020","13","13","11","100%",
"07/07/2020","10","9","8","89%","12s"
"06/07/2020","14","14","13","100%",
"05/07/2020","4","4","3","100%",
"04/07/2020","2","2","2","100%",
"03/07/2020","6","5","5","80%","25m, 23s"
"02/07/2020","12","10","9","70%","19m, 46s"
"01/07/2020","42","23","12","78%","11m, 8s"
"30/06/2020","14","7","5","100%","1s"
"29/06/2020","30","14","13","93%","37s, 667ms"
"28/06/2020","4","1","1","0%","4m, 50s"
"27/06/2020","16","5","5","80%","10m, 49s"
"26/06/2020","16","8","7","100%","1s"
"25/06/2020","20","7","7","71%","9m, 6s"
"24/06/2020","31","11","10","73%","15m, 24s"
"23/06/2020","16","6","5","67%","13m, 3s"
"22/06/2020","10","5","5","100%","1s"
"21/06/2020","6","3","3","100%","1s"
"20/06/2020","12","6","5","100%","1s"
"19/06/2020","30","13","9","85%","5m, 13s"
"18/06/2020","28","13","8","92%","6m, 19s"
"17/06/2020","10","5","4","100%","1s"
"16/06/2020","18","9","8","100%","1s"
"15/06/2020","31","13","12","77%","1m, 45s"
"14/06/2020","6","3","3","100%",
"13/06/2020","20","10","8","100%","1s"
"12/06/2020","30","12","10","75%","6m, 41s"
"11/06/2020","6","3","3","100%",
"10/06/2020","2","1","1","100%",
"09/06/2020","2","1","1","100%",
"08/06/2020","16","8","7","100%",
"07/06/2020","10","4","4","75%","48s"
"06/06/2020","8","4","3","100%","1s"
"05/06/2020","2","1","1","100%","1s"
"04/06/2020","2","1","1","100%",
"03/06/2020","4","2","2","100%","1s"
"02/06/2020","3","2","2","100%",
"01/06/2020","10","4","4","75%","5m, 44s"
"31/05/2020","8","2","2","0%","4m, 36s"
"30/05/2020","8","3","3","67%","49s"
"29/05/2020","2","1","1","100%",
"26/05/2020","4","2","2","100%","1s"
"25/05/2020","6","2","2","50%","51s"
"22/05/2020","5","3","3","100%","1s"
"21/05/2020","2","1","1","100%",
"20/05/2020","4","2","2","100%",
