"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"20/11/2025","33","27","25","81%","4m, 9s"
"19/11/2025","24","21","17","90%","4m, 34s"
"18/11/2025","36","32","28","88%","3m, 4s"
"17/11/2025","34","32","27","94%","1m, 12s"
"16/11/2025","18","17","12","94%","23s"
"15/11/2025","20","19","16","95%","52s"
"14/11/2025","25","24","23","96%","28s"
"13/11/2025","21","20","19","95%","14m, 27s"
"12/11/2025","22","22","19","100%",
"11/11/2025","42","39","32","92%","5m, 28s"
"10/11/2025","36","32","29","91%","4m, 51s"
"09/11/2025","12","12","12","100%",
"08/11/2025","21","20","18","95%","1m, 9s"
"07/11/2025","36","32","28","88%","2m, 51s"
"06/11/2025","36","36","31","100%",
"05/11/2025","26","26","24","100%",
"04/11/2025","49","42","38","86%","4m, 40s"
"03/11/2025","30","26","25","96%","15m, 44s"
"02/11/2025","6","6","6","100%",
"01/11/2025","20","20","18","100%",
"31/10/2025","25","22","21","86%","7m, 59s"
"30/10/2025","27","27","25","100%",
"29/10/2025","25","25","23","100%",
"28/10/2025","40","38","30","95%","29s, 500ms"
"27/10/2025","25","25","22","100%",
"26/10/2025","21","21","19","100%",
"25/10/2025","29","27","23","93%","34s"
"24/10/2025","23","22","18","95%","27s"
"23/10/2025","30","27","23","93%","13m, 17s"
"22/10/2025","49","44","34","89%","4m, 7s"
"21/10/2025","44","41","32","93%","45s"
"20/10/2025","26","24","22","92%","32s, 500ms"
"19/10/2025","25","23","21","91%","3m, 6s"
"18/10/2025","19","17","16","88%","13m, 53s"
"17/10/2025","32","26","22","81%","2m, 44s"
"16/10/2025","33","29","24","86%","4m, 37s"
"15/10/2025","53","49","41","94%","11m, 23s"
"14/10/2025","53","51","41","96%","59s, 500ms"
"13/10/2025","70","60","48","83%","1m, 46s"
"12/10/2025","20","20","17","100%",
"11/10/2025","38","32","27","91%","7m, 13s"
"10/10/2025","35","32","27","91%","2m, 2s"
"09/10/2025","39","32","30","88%","2m, 22s"
"08/10/2025","49","44","35","93%","9m, 57s"
"07/10/2025","41","39","33","95%","10m, 28s"
"06/10/2025","61","50","41","78%","3m, 6s"
"05/10/2025","14","14","13","100%",
"04/10/2025","35","32","25","91%","1m, 15s"
"03/10/2025","44","38","31","87%","4m, 49s"
"02/10/2025","26","25","18","96%","33s"
"01/10/2025","46","43","36","95%","38s, 333ms"
"30/09/2025","41","37","30","92%","6m, 22s"
"29/09/2025","72","64","49","89%","2m, 40s"
"28/09/2025","17","15","12","93%","2m, 24s"
"27/09/2025","18","18","18","100%",
"26/09/2025","43","41","34","95%","3m, 1s"
"25/09/2025","31","29","27","93%","17s, 500ms"
"24/09/2025","32","27","25","93%","3m, 1s"
"23/09/2025","41","39","35","97%","2m, 42s"
"22/09/2025","48","45","38","93%","1m, 10s"
"21/09/2025","33","28","26","82%","3m, 39s"
"20/09/2025","41","37","32","92%","6m, 22s"
"19/09/2025","47","44","35","93%","1m, 39s"
"18/09/2025","39","37","32","95%","3m, 55s"
"17/09/2025","44","38","31","87%","2m, 47s"
"16/09/2025","35","34","25","97%","2m, 41s"
"15/09/2025","58","52","39","90%","4m, 57s"
"14/09/2025","21","20","19","95%","2m, 19s"
"13/09/2025","22","20","20","95%","36s"
"12/09/2025","24","24","19","100%",
"11/09/2025","24","22","19","91%","1m, 54s"
"10/09/2025","29","28","27","96%","1m, 44s"
"09/09/2025","34","32","30","94%","20s"
"08/09/2025","45","41","33","93%","42s"
"07/09/2025","16","16","15","100%",
"06/09/2025","23","22","17","95%","1m, 20s"
"05/09/2025","42","39","35","92%","9m, 31s"
"04/09/2025","44","37","34","84%","2m, 42s"
"03/09/2025","47","37","29","78%","6m, 125ms"
"02/09/2025","32","30","24","93%","5m, 17s"
"01/09/2025","42","37","34","86%","2m, 25s"
"31/08/2025","24","24","22","100%",
"30/08/2025","30","27","26","89%","4m, 52s"
"29/08/2025","37","33","27","88%","3m, 19s"
"28/08/2025","25","25","18","100%",
"27/08/2025","35","31","30","90%","57s, 333ms"
"26/08/2025","43","39","37","92%","14m, 12s"
"25/08/2025","47","44","34","93%","5m, 29s"
"24/08/2025","24","19","17","89%","4m, 16s"
"23/08/2025","34","29","22","83%","2m, 11s"
"22/08/2025","37","33","30","88%","4m, 48s"
"21/08/2025","29","26","20","96%","16s"
"20/08/2025","30","25","22","88%","1m, 53s"
"19/08/2025","29","29","25","100%",
"18/08/2025","44","38","30","87%","6m, 27s"
"17/08/2025","11","11","11","100%",
"16/08/2025","22","22","18","100%",
"15/08/2025","29","27","20","93%","21m, 15s"
"14/08/2025","29","26","23","92%","4m, 52s"
"13/08/2025","23","21","17","90%","5m, 37s"
"12/08/2025","27","26","22","96%","5s"
"11/08/2025","60","57","43","96%","2m, 48s"
"10/08/2025","17","14","13","86%","4m, 34s"
"09/08/2025","18","18","15","100%",
"08/08/2025","25","25","20","100%",
"07/08/2025","27","26","24","96%","8m, 19s"
"06/08/2025","44","43","32","98%","3m, 38s"
"05/08/2025","46","45","37","98%","15m, 19s"
"04/08/2025","35","31","27","90%","8m, 39s"
"03/08/2025","18","18","15","100%",
"02/08/2025","24","22","16","91%","9m, 46s"
"01/08/2025","40","38","33","97%","16m, 53s"
"31/07/2025","24","23","22","96%","1m, 7s"
"30/07/2025","38","34","26","94%","8m, 50s"
"29/07/2025","28","28","24","100%",
"28/07/2025","47","41","32","85%","5m, 47s"
"27/07/2025","20","17","16","82%","3m, 19s"
"26/07/2025","15","15","14","100%",
"25/07/2025","36","32","28","88%","2m, 57s"
"24/07/2025","36","35","31","97%","11m, 12s"
"23/07/2025","22","18","17","83%","4m, 28s"
"22/07/2025","14","14","14","100%",
"21/07/2025","31","29","23","93%","33s, 500ms"
"20/07/2025","23","22","19","95%","2m, 8s"
"19/07/2025","15","14","13","93%","49s"
"18/07/2025","30","27","22","89%","10m, 17s"
"17/07/2025","21","20","15","95%","9m, 1s"
"16/07/2025","46","43","31","93%","11m, 25s"
"15/07/2025","26","24","24","92%","2m, 14s"
"14/07/2025","45","44","39","98%","4m, 20s"
"13/07/2025","8","7","6","86%","7m, 23s"
"12/07/2025","21","21","19","100%",
"11/07/2025","27","25","19","92%","3m, 7s"
"10/07/2025","39","34","25","88%","9m, 44s"
"09/07/2025","30","29","24","97%","26m, 30s"
"08/07/2025","33","30","28","90%","3m, 20s"
"07/07/2025","36","36","32","100%",
"06/07/2025","30","29","19","97%","3m, 32s"
"05/07/2025","29","25","17","84%","3m, 19s"
"04/07/2025","38","37","35","97%","1m, 31s"
"03/07/2025","33","29","21","86%","2m, 59s"
"02/07/2025","36","34","27","94%","14m, 19s"
"01/07/2025","37","33","28","91%","6m, 7s"
"30/06/2025","47","44","36","93%","1m, 59s"
"29/06/2025","36","31","23","90%","15m, 29s"
"28/06/2025","22","19","13","89%","10m, 54s"
"27/06/2025","41","36","26","89%","5m, 21s"
"26/06/2025","31","26","21","85%","12m, 41s"
"25/06/2025","38","32","23","81%","3m, 3s"
"24/06/2025","52","46","37","87%","3m, 34s"
"23/06/2025","56","49","34","90%","14m, 7s"
"22/06/2025","18","17","13","94%","5m, 37s"
"21/06/2025","27","23","17","87%","5m, 22s"
"20/06/2025","21","20","16","95%","14s"
"19/06/2025","47","40","32","83%","3m, 22s"
"18/06/2025","24","21","17","86%","13m, 31s"
"17/06/2025","41","35","26","89%","19m, 58s"
"16/06/2025","47","38","29","84%","18m, 46s"
"15/06/2025","16","15","13","93%","3m, 19s"
"14/06/2025","17","15","12","93%","14m, 22s"
"13/06/2025","46","43","34","93%","22m, 46s"
"12/06/2025","44","36","29","86%","13m, 59s"
"11/06/2025","44","38","33","84%","12m, 20s"
"10/06/2025","39","32","30","84%","8m, 36s"
"09/06/2025","56","46","37","85%","17m, 19s"
"08/06/2025","26","25","20","96%","54s"
"07/06/2025","30","26","26","88%","5m, 33s"
"06/06/2025","51","49","38","96%","12m, 7s"
"05/06/2025","20","18","17","94%","1m, 17s"
"04/06/2025","42","38","33","92%","1m, 38s"
"03/06/2025","37","33","31","91%","6m, 29s"
"02/06/2025","47","43","37","93%","12m, 36s"
"01/06/2025","22","18","16","83%","6m, 667ms"
"31/05/2025","18","17","14","94%","12m, 41s"
"30/05/2025","42","38","30","89%","9m, 37s"
"29/05/2025","43","35","25","83%","7m, 33s"
"28/05/2025","41","38","35","95%","3m, 23s"
"27/05/2025","47","41","35","85%","4m, 12s"
"26/05/2025","49","45","37","91%","7m, 52s"
"25/05/2025","21","19","19","89%","30s"
"24/05/2025","22","22","20","100%",
"23/05/2025","45","35","33","80%","7m, 1s"
"22/05/2025","27","23","22","91%","8m, 6s"
"21/05/2025","59","55","45","93%","2m, 53s"
"20/05/2025","57","48","44","81%","5m, 44s"
"19/05/2025","73","70","49","96%","10m, 49s"
"18/05/2025","24","23","22","96%","8m, 9s"
"17/05/2025","34","30","27","90%","12m, 13s"
"16/05/2025","40","36","30","89%","6m, 27s"
"15/05/2025","47","36","28","83%","8m, 47s"
"14/05/2025","43","37","29","84%","11m, 39s"
"13/05/2025","54","51","42","94%","1m, 16s"
"12/05/2025","28","25","25","88%","5m, 43s"
"11/05/2025","28","27","25","96%","11m, 52s"
"10/05/2025","28","27","26","96%","8m"
"09/05/2025","41","34","32","82%","3m, 59s"
"08/05/2025","38","34","28","91%","43s"
"07/05/2025","32","29","26","90%","41s"
"06/05/2025","42","34","28","82%","6m, 37s"
"05/05/2025","59","45","39","80%","7m, 33s"
"04/05/2025","28","26","23","92%","1m, 54s"
"03/05/2025","23","18","17","78%","7m, 38s"
"02/05/2025","54","49","39","90%","5m, 41s"
"01/05/2025","26","24","23","92%","11m, 41s"
"30/04/2025","43","40","29","93%","1m, 55s"
"29/04/2025","31","28","22","89%","12m, 56s"
"28/04/2025","37","32","30","88%","6m, 46s"
"27/04/2025","14","12","10","92%","4m, 16s"
"26/04/2025","32","30","26","93%","10m, 5s"
"25/04/2025","24","22","20","91%","4m, 10s"
"24/04/2025","36","31","28","90%","11m, 56s"
"23/04/2025","46","34","31","85%","7m, 10s"
"22/04/2025","32","29","26","90%","6m, 12s"
"21/04/2025","45","38","34","84%","2m, 26s"
"20/04/2025","20","15","15","67%","2m, 57s"
"19/04/2025","32","27","22","85%","8m, 33s"
"18/04/2025","25","23","21","91%","2m, 51s"
"17/04/2025","28","27","26","96%","20m, 20s"
"16/04/2025","37","35","29","94%","20m, 27s"
"15/04/2025","40","34","32","88%","13m, 47s"
"14/04/2025","71","64","52","92%","9m, 50s"
"13/04/2025","31","26","22","81%","22s, 600ms"
"12/04/2025","25","21","19","86%","7m, 49s"
"11/04/2025","36","32","26","88%","4m, 21s"
"10/04/2025","35","31","29","87%","2m, 22s"
"09/04/2025","43","36","32","83%","5m, 49s"
"08/04/2025","42","37","33","86%","3m, 26s"
"07/04/2025","57","50","40","88%","9m, 15s"
"06/04/2025","30","26","21","88%","6m, 28s"
"05/04/2025","19","17","15","88%","18s"
"04/04/2025","45","42","38","93%","11m, 56s"
"03/04/2025","32","28","26","89%","21s, 500ms"
"02/04/2025","35","30","26","83%","19m, 26s"
"01/04/2025","38","37","29","97%","9m, 55s"
"31/03/2025","19","18","18","94%","10m, 54s"
"30/03/2025","10","10","10","100%",
"29/03/2025","17","15","13","93%","3m, 20s"
"28/03/2025","29","27","23","93%","11m, 58s"
"27/03/2025","43","38","32","89%","8m, 30s"
"26/03/2025","48","37","34","89%","14m, 43s"
"25/03/2025","43","38","38","89%","54s, 250ms"
"24/03/2025","62","56","44","89%","12m, 1s"
"23/03/2025","22","22","19","100%",
"22/03/2025","32","23","22","87%","2m, 46s"
"21/03/2025","30","29","25","97%","43s"
"20/03/2025","30","30","28","100%",
"19/03/2025","35","33","31","94%","3m, 53s"
"18/03/2025","29","24","21","83%","1m, 12s"
"17/03/2025","71","63","54","89%","12m, 41s"
"16/03/2025","23","20","17","95%","35m, 7s"
"15/03/2025","28","26","22","92%","14m, 47s"
"14/03/2025","30","27","21","89%","5m, 27s"
"13/03/2025","40","35","27","91%","4m, 21s"
"12/03/2025","34","33","29","97%","4m, 18s"
"11/03/2025","17","17","17","100%",
"10/03/2025","55","53","45","96%","5m, 15s"
"09/03/2025","10","10","10","100%",
"08/03/2025","25","23","21","91%","1m, 11s"
"07/03/2025","49","38","34","79%","3m, 32s"
"06/03/2025","33","27","22","81%","2m, 1s"
"05/03/2025","36","33","28","91%","5m, 29s"
"04/03/2025","35","33","30","94%","20m, 22s"
"03/03/2025","44","41","34","93%","15m, 18s"
"02/03/2025","13","12","11","92%","22m, 53s"
"01/03/2025","34","29","27","93%","7m, 12s"
"28/02/2025","40","36","28","94%","11m, 18s"
"27/02/2025","30","23","20","74%","5m, 56s"
"26/02/2025","37","34","26","91%","1m, 5s"
"25/02/2025","52","45","38","87%","18m, 38s"
"24/02/2025","50","41","34","83%","12m, 5s"
"23/02/2025","21","14","12","71%","17m, 34s"
"22/02/2025","19","18","11","94%","2m, 8s"
"21/02/2025","31","28","25","89%","2m, 2s"
"20/02/2025","35","31","27","87%","15m, 56s"
"19/02/2025","38","35","31","94%","2m, 3s"
"18/02/2025","27","25","23","92%","3m, 33s"
"17/02/2025","42","41","36","98%","44s"
"16/02/2025","16","14","14","93%","1m, 4s"
"15/02/2025","21","21","20","100%",
"14/02/2025","34","31","27","90%","6m, 17s"
"13/02/2025","40","39","33","97%","21m, 11s"
