"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"12/02/2026","39","34","26","91%","3m, 19s"
"11/02/2026","38","37","29","97%","12m, 42s"
"10/02/2026","51","47","37","91%","1m, 40s"
"09/02/2026","44","41","30","93%","13m, 42s"
"08/02/2026","16","14","12","86%","1m, 5s"
"07/02/2026","12","10","10","80%","4m, 51s"
"06/02/2026","23","19","19","84%","2m, 42s"
"05/02/2026","28","25","23","92%","25s, 667ms"
"04/02/2026","39","34","26","91%","5m, 26s"
"03/02/2026","40","39","30","97%","45s"
"02/02/2026","54","51","41","94%","11m, 43s"
"01/02/2026","20","18","17","89%","4m, 46s"
"31/01/2026","23","23","18","100%",
"30/01/2026","51","48","37","94%","48s, 333ms"
"29/01/2026","41","39","30","95%","19m, 12s"
"28/01/2026","32","31","25","97%","1m, 6s"
"27/01/2026","29","27","25","93%","43s, 500ms"
"26/01/2026","43","36","29","86%","3m, 21s"
"25/01/2026","14","14","14","100%",
"24/01/2026","25","22","16","86%","3m, 3s"
"23/01/2026","25","22","18","86%","56s, 333ms"
"22/01/2026","15","14","14","93%","4m, 55s"
"21/01/2026","23","22","21","95%","5m, 44s"
"20/01/2026","26","25","21","96%","39s"
"19/01/2026","44","42","27","95%","1m, 34s"
"18/01/2026","19","16","13","94%","5m, 38s"
"17/01/2026","14","11","10","82%","2m, 59s"
"16/01/2026","16","15","15","100%","1s"
"15/01/2026","21","18","13","83%","3m, 57s"
"14/01/2026","35","31","27","90%","7m, 29s"
"13/01/2026","29","23","20","78%","1m, 3s"
"12/01/2026","57","54","37","94%","1m, 40s"
"11/01/2026","21","21","21","100%",
"10/01/2026","12","12","9","100%",
"09/01/2026","26","24","19","96%","2m, 26s"
"08/01/2026","18","17","14","94%","16s"
"07/01/2026","28","26","21","92%","7m, 6s"
"06/01/2026","32","29","26","93%","1m, 48s"
"05/01/2026","30","29","24","97%","14m, 33s"
"04/01/2026","15","14","13","93%","33s"
"03/01/2026","20","18","17","94%","1m, 22s"
"02/01/2026","31","26","24","88%","3m, 52s"
"01/01/2026","16","14","11","86%","3m, 41s"
"31/12/2025","17","17","13","100%",
"30/12/2025","23","22","22","95%","40s"
"29/12/2025","43","40","35","93%","8m, 35s"
"28/12/2025","16","16","15","100%",
"27/12/2025","12","12","9","100%",
"26/12/2025","41","37","29","95%","33s, 500ms"
"25/12/2025","13","12","11","92%","15m, 20s"
"24/12/2025","25","20","18","80%","2m, 6s"
"23/12/2025","29","22","18","77%","12m, 10s"
"22/12/2025","40","35","27","91%","8m"
"21/12/2025","20","19","19","95%","14m, 32s"
"20/12/2025","20","16","13","81%","29s, 667ms"
"19/12/2025","25","18","17","72%","7m, 9s"
"18/12/2025","21","21","18","100%",
"17/12/2025","27","23","18","91%","3m, 11s"
"16/12/2025","26","26","25","100%",
"15/12/2025","50","46","38","91%","4m, 52s"
"14/12/2025","22","22","19","100%",
"13/12/2025","25","24","21","96%","8s"
"12/12/2025","21","19","18","89%","1m, 49s"
"11/12/2025","26","26","23","100%",
"10/12/2025","34","31","30","90%","39s"
"09/12/2025","20","20","18","100%",
"08/12/2025","36","32","29","91%","5m, 8s"
"07/12/2025","17","17","16","100%",
"06/12/2025","9","9","9","100%",
"05/12/2025","35","34","28","97%","15s"
"04/12/2025","43","36","31","86%","5m, 49s"
"03/12/2025","39","36","31","92%","1m, 333ms"
"02/12/2025","41","38","29","92%","1m, 39s"
"01/12/2025","48","43","35","91%","1m, 14s"
"30/11/2025","11","10","10","90%","8s"
"29/11/2025","19","18","14","94%","6s"
"28/11/2025","25","23","21","91%","28s, 500ms"
"27/11/2025","21","18","16","83%","4m, 13s"
"26/11/2025","26","25","21","96%","1m, 50s"
"25/11/2025","35","33","28","94%","2m, 48s"
"24/11/2025","40","36","31","94%","6m, 32s"
"23/11/2025","14","13","11","92%","4m, 36s"
"22/11/2025","17","15","15","93%","10m, 5s"
"21/11/2025","30","29","27","97%","40s"
