"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"12/02/2023","51","44","38","89%","43s"
"11/02/2023","55","43","37","84%","5m, 10s"
"10/02/2023","76","64","54","84%","10m, 24s"
"09/02/2023","47","39","30","92%","40m, 56s"
"08/02/2023","62","52","44","87%","4m, 3s"
"07/02/2023","61","58","52","98%","34m, 52s"
"06/02/2023","84","71","59","89%","8m, 25s"
"05/02/2023","29","29","27","100%",
"04/02/2023","64","59","44","93%","1m, 47s"
"03/02/2023","64","61","53","97%","3m, 1s"
"02/02/2023","49","43","40","91%","9m, 48s"
"01/02/2023","53","46","37","89%","10m, 44s"
"31/01/2023","55","48","45","90%","4m, 26s"
"30/01/2023","73","66","57","92%","4m, 54s"
"29/01/2023","24","24","24","100%",
"28/01/2023","35","30","26","87%","5m, 42s"
"27/01/2023","74","65","58","91%","5m, 12s"
"26/01/2023","74","67","58","91%","5m, 20s"
"25/01/2023","93","81","69","89%","6m, 4s"
"24/01/2023","66","61","47","92%","9m, 29s"
"23/01/2023","76","70","59","94%","14m, 41s"
"22/01/2023","25","22","21","91%","18m, 9s"
"21/01/2023","48","38","31","82%","3m, 35s"
"20/01/2023","85","70","54","87%","10m, 10s"
"19/01/2023","79","66","52","85%","5m, 55s"
"18/01/2023","57","53","46","92%","3m, 13s"
"17/01/2023","61","55","44","95%","55s, 750ms"
"16/01/2023","115","100","78","87%","5m, 11s"
"15/01/2023","36","31","31","87%","2m, 25s"
"14/01/2023","64","51","47","78%","3m, 12s"
"13/01/2023","102","80","59","79%","4m, 118ms"
"12/01/2023","79","69","64","86%","6m, 4s"
"11/01/2023","81","72","60","90%","16m, 27s"
"10/01/2023","69","57","50","84%","8m, 46s"
"09/01/2023","121","103","81","85%","4m, 17s"
"08/01/2023","49","41","38","85%","2m, 7s"
"07/01/2023","53","47","44","89%","5m, 15s"
"06/01/2023","85","71","63","86%","3m, 18s"
"05/01/2023","70","64","57","91%","6m, 50s"
"04/01/2023","62","52","42","88%","5m, 5s"
"03/01/2023","79","67","62","88%","5m, 56s"
"02/01/2023","86","73","64","88%","10m, 3s"
"01/01/2023","44","33","31","73%","9m, 30s"
"31/12/2022","48","41","29","90%","12m, 3s"
"30/12/2022","61","55","49","91%","6m, 31s"
"29/12/2022","64","55","50","91%","3m, 1s"
"28/12/2022","88","76","60","87%","12m, 24s"
"27/12/2022","86","75","63","89%","9m, 40s"
"26/12/2022","108","90","75","83%","7m, 36s"
"25/12/2022","25","23","22","91%","11m, 7s"
"24/12/2022","36","32","30","91%","3m, 23s"
"23/12/2022","44","33","31","76%","11m, 11s"
"22/12/2022","66","57","50","91%","11m, 4s"
"21/12/2022","53","47","42","87%","4m, 24s"
"20/12/2022","61","51","43","92%","4m, 39s"
"19/12/2022","82","70","60","90%","8m, 54s"
"18/12/2022","49","42","36","83%","2m, 59s"
"17/12/2022","47","39","37","85%","14m, 58s"
"16/12/2022","78","72","64","94%","5m, 8s"
"15/12/2022","50","46","39","91%","5m, 51s"
"14/12/2022","51","41","35","83%","8m, 42s"
"13/12/2022","37","35","31","94%","3m, 2s"
"12/12/2022","95","77","61","82%","5m, 25s"
"11/12/2022","33","29","27","86%","3m, 28s"
"10/12/2022","25","21","20","81%","5m, 19s"
"09/12/2022","48","48","43","100%",
"08/12/2022","75","54","41","78%","8m, 17s"
"07/12/2022","65","59","48","92%","5m, 13s"
"06/12/2022","70","60","55","88%","9m, 34s"
"05/12/2022","90","76","60","86%","10m, 24s"
"04/12/2022","44","34","33","82%","3m, 47s"
"03/12/2022","41","34","29","79%","53s"
"02/12/2022","44","41","36","95%","13s"
"01/12/2022","58","53","50","94%","3m, 3s"
"30/11/2022","69","64","55","94%","6m, 28s"
"29/11/2022","81","62","53","79%","7m, 43s"
"28/11/2022","118","103","84","89%","15m, 417ms"
"27/11/2022","43","34","31","79%","10m, 6s"
"26/11/2022","42","37","29","89%","14m, 36s"
"25/11/2022","57","43","41","79%","3m, 28s"
"24/11/2022","41","34","33","79%","7m, 32s"
"23/11/2022","64","59","48","93%","7m, 45s"
"22/11/2022","73","63","55","89%","9m, 6s"
"21/11/2022","82","75","65","91%","1m, 52s"
"20/11/2022","30","27","26","93%","3m, 37s"
"19/11/2022","46","42","37","95%","39s, 667ms"
"18/11/2022","71","61","52","85%","5m, 55s"
"17/11/2022","60","52","50","90%","5m, 17s"
"16/11/2022","83","75","65","91%","4m, 55s"
"15/11/2022","66","60","52","90%","9m, 28s"
"14/11/2022","68","61","49","90%","5m, 26s"
"13/11/2022","30","28","27","93%","6m, 19s"
"12/11/2022","55","51","47","92%","6m, 26s"
"11/11/2022","70","58","45","90%","9m, 30s"
"10/11/2022","45","41","36","93%","6m, 58s"
"09/11/2022","64","47","39","85%","9m, 38s"
"08/11/2022","55","50","46","92%","9m, 54s"
"07/11/2022","77","55","47","82%","11m, 11s"
"06/11/2022","48","40","35","85%","4m, 53s"
"05/11/2022","62","56","45","93%","6m, 20s"
"04/11/2022","74","68","57","93%","4m, 32s"
"03/11/2022","70","68","61","99%","1h, 2m"
"02/11/2022","60","54","52","89%","9m, 333ms"
"01/11/2022","60","53","50","91%","10m, 17s"
"31/10/2022","78","67","54","87%","4m, 13s"
"30/10/2022","32","27","24","81%","6m, 5s"
"29/10/2022","59","54","47","93%","9m, 52s"
"28/10/2022","74","66","57","89%","3m, 32s"
"27/10/2022","67","57","48","86%","8m, 59s"
"26/10/2022","56","51","43","94%","3m, 27s"
"25/10/2022","106","90","81","88%","5m, 6s"
"24/10/2022","96","82","69","87%","5m, 10s"
"23/10/2022","53","49","46","92%","8m, 44s"
"22/10/2022","66","61","52","92%","1m, 20s"
"21/10/2022","100","83","68","86%","10m, 28s"
"20/10/2022","74","67","60","91%","5m, 17s"
"19/10/2022","81","74","68","91%","6m, 31s"
"18/10/2022","108","90","83","87%","4m, 56s"
"17/10/2022","92","82","71","90%","3m, 33s"
"16/10/2022","42","37","33","86%","6m, 13s"
"15/10/2022","52","47","42","89%","50m, 59s"
"14/10/2022","63","54","46","89%","5m, 58s"
"13/10/2022","74","71","61","97%","39s"
"12/10/2022","90","78","70","92%","16m, 27s"
"11/10/2022","77","64","60","89%","13m, 29s"
"10/10/2022","104","96","80","92%","6m, 55s"
"09/10/2022","35","31","25","87%","6m, 25s"
"08/10/2022","43","36","31","83%","6m, 33s"
"07/10/2022","49","46","39","93%","3m, 9s"
