"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"06/10/2022","60","51","47","86%","3m, 57s"
"05/10/2022","69","63","54","94%","3m, 29s"
"04/10/2022","64","59","54","93%","31s, 750ms"
"03/10/2022","98","83","68","87%","9m, 56s"
"02/10/2022","50","43","34","88%","11m, 38s"
"01/10/2022","85","67","51","84%","10m, 17s"
"30/09/2022","106","90","71","86%","7m, 50s"
"29/09/2022","82","69","56","84%","11m, 21s"
"28/09/2022","76","72","55","94%","8m, 45s"
"27/09/2022","74","67","63","94%","8m, 12s"
"26/09/2022","100","90","82","89%","6m, 25s"
"25/09/2022","48","44","40","91%","3m, 9s"
"24/09/2022","50","46","40","93%","3m, 15s"
"23/09/2022","83","65","59","86%","16m, 42s"
"22/09/2022","89","79","67","91%","3m, 45s"
"21/09/2022","67","55","45","80%","2m, 26s"
"20/09/2022","73","69","58","97%","17s, 667ms"
"19/09/2022","135","119","94","90%","11m, 12s"
"18/09/2022","54","47","42","87%","34s, 667ms"
"17/09/2022","45","40","36","88%","7m, 34s"
"16/09/2022","107","89","73","83%","10m, 14s"
"15/09/2022","68","58","52","88%","8m, 53s"
"14/09/2022","74","62","51","87%","4m, 33s"
"13/09/2022","56","54","51","96%","42s"
"12/09/2022","80","71","62","90%","6m, 51s"
"11/09/2022","59","48","41","81%","7m, 41s"
"10/09/2022","46","39","32","85%","3m, 9s"
"09/09/2022","60","56","45","93%","8m, 15s"
"08/09/2022","82","67","63","85%","5m, 47s"
"07/09/2022","58","55","49","95%","9m, 1s"
"06/09/2022","65","58","53","90%","4h, 3m"
"05/09/2022","78","59","53","83%","8m, 13s"
"04/09/2022","44","37","34","84%","7m, 37s"
"03/09/2022","44","37","30","89%","10m, 44s"
"02/09/2022","62","49","44","86%","3m, 14s"
"01/09/2022","64","52","46","85%","11m, 53s"
"31/08/2022","61","57","48","96%","10m, 42s"
"30/08/2022","64","55","49","89%","22m, 31s"
"29/08/2022","96","83","61","89%","15m, 50s"
"28/08/2022","37","33","27","91%","8m, 40s"
"27/08/2022","58","49","36","86%","6m, 21s"
"26/08/2022","83","76","57","92%","13m, 54s"
"25/08/2022","56","47","39","89%","4m, 58s"
"24/08/2022","43","38","36","87%","34s, 200ms"
"23/08/2022","46","41","35","90%","8m, 37s"
"22/08/2022","64","59","47","93%","5m, 25s"
"21/08/2022","44","38","34","89%","5m, 34s"
"20/08/2022","41","38","32","92%","2m, 50s"
"19/08/2022","66","62","53","94%","2m, 8s"
"18/08/2022","72","64","55","91%","3m, 2s"
"17/08/2022","90","78","68","95%","12m, 55s"
"16/08/2022","65","54","49","85%","2m, 47s"
"15/08/2022","65","59","49","90%","8m, 46s"
"14/08/2022","44","37","33","86%","11m, 4s"
"13/08/2022","54","46","41","87%","6m, 57s"
"12/08/2022","57","52","47","90%","28s, 200ms"
"11/08/2022","70","62","52","92%","6m, 16s"
"10/08/2022","64","58","52","90%","3m, 57s"
"09/08/2022","39","37","36","95%","4m, 40s"
"08/08/2022","102","90","75","90%","7m, 27s"
"07/08/2022","31","28","28","89%","19m, 49s"
"06/08/2022","61","52","45","90%","15m, 20s"
"05/08/2022","91","84","66","92%","7m, 32s"
"04/08/2022","53","51","45","96%","10m, 12s"
"03/08/2022","80","67","54","88%","6m, 52s"
"02/08/2022","69","61","52","87%","7m, 11s"
"01/08/2022","118","101","74","87%","9m, 48s"
"31/07/2022","30","28","24","93%","6m, 23s"
"30/07/2022","57","47","37","81%","6m, 25s"
"29/07/2022","104","95","78","96%","11m, 14s"
"28/07/2022","55","50","44","90%","8m, 31s"
"27/07/2022","64","56","47","88%","1m, 57s"
"26/07/2022","61","56","53","93%","1m, 18s"
"25/07/2022","109","94","76","89%","9m, 18s"
"24/07/2022","45","42","36","93%","33s, 333ms"
"23/07/2022","56","52","45","94%","8m, 38s"
"22/07/2022","72","59","50","83%","4m, 19s"
"21/07/2022","75","64","55","84%","9m, 43s"
"20/07/2022","70","60","52","87%","11m, 18s"
"19/07/2022","77","70","60","93%","7m, 5s"
"18/07/2022","115","99","82","88%","5m, 19s"
"17/07/2022","40","36","31","94%","6m, 55s"
"16/07/2022","49","41","36","83%","3m, 19s"
"15/07/2022","102","87","76","87%","7m, 39s"
"14/07/2022","81","71","62","93%","6m, 53s"
"13/07/2022","99","83","69","83%","7m, 49s"
"12/07/2022","132","115","100","90%","6m, 32s"
"11/07/2022","106","92","86","88%","6m, 32s"
"10/07/2022","49","47","42","96%","2m, 46s"
"09/07/2022","51","47","43","94%","8m, 41s"
"08/07/2022","98","84","65","85%","7m, 16s"
"07/07/2022","84","77","67","94%","9m, 40s"
"06/07/2022","75","62","51","82%","3m, 56s"
"05/07/2022","94","80","70","88%","5m, 53s"
"04/07/2022","136","115","88","90%","7m, 56s"
"03/07/2022","62","54","41","89%","5m, 13s"
"02/07/2022","47","44","38","95%","8m, 18s"
"01/07/2022","78","70","58","94%","10m, 45s"
"30/06/2022","61","52","43","85%","4m, 44s"
"29/06/2022","83","69","61","80%","5m, 35s"
"28/06/2022","71","66","62","94%","4m, 11s"
"27/06/2022","113","98","76","88%","4m, 83ms"
"26/06/2022","27","25","23","96%","19s"
"25/06/2022","70","60","49","93%","18m, 59s"
"24/06/2022","81","71","60","89%","5m, 39s"
"23/06/2022","94","77","60","87%","4m, 14s"
"22/06/2022","72","70","63","97%","29s"
"21/06/2022","69","62","55","90%","5m, 48s"
"20/06/2022","121","107","84","93%","5m, 44s"
"19/06/2022","54","45","43","87%","3h, 1m"
"18/06/2022","73","54","46","80%","9m, 2s"
"17/06/2022","94","80","66","89%","12m, 23s"
"16/06/2022","81","71","66","87%","2m, 48s"
"15/06/2022","89","79","62","90%","5m, 750ms"
"14/06/2022","92","77","72","88%","11m, 28s"
"13/06/2022","137","113","91","85%","5m, 48s"
"12/06/2022","49","44","44","89%","3m, 39s"
"11/06/2022","84","70","58","90%","4m, 18s"
"10/06/2022","135","111","92","88%","11m, 34s"
"09/06/2022","109","96","78","90%","5m, 16s"
"08/06/2022","91","75","67","85%","6m, 21s"
"07/06/2022","98","82","72","85%","3m, 2s"
"06/06/2022","140","119","90","87%","4m, 36s"
"05/06/2022","55","47","39","87%","2m, 24s"
"04/06/2022","73","65","51","89%","8m, 37s"
"03/06/2022","83","77","63","95%","7m, 38s"
"02/06/2022","55","51","43","92%","3m, 16s"
"01/06/2022","77","64","58","88%","2m, 42s"
"31/05/2022","67","58","51","91%","3m, 9s"
"30/05/2022","126","116","93","94%","10m, 2s"
"29/05/2022","46","39","36","87%","2m, 29s"
"28/05/2022","76","70","59","91%","2m, 49s"
"27/05/2022","82","73","58","89%","7m, 21s"
"26/05/2022","84","69","60","88%","13m, 15s"
"25/05/2022","80","69","57","87%","7m, 57s"
"24/05/2022","92","84","71","92%","1m, 40s"
"23/05/2022","115","105","86","93%","6m, 39s"
"22/05/2022","37","34","33","91%","1m, 19s"
"21/05/2022","54","53","48","98%","22s"
"20/05/2022","92","76","68","82%","4m, 47s"
"19/05/2022","80","72","63","90%","9m, 28s"
"18/05/2022","95","86","71","91%","6m, 45s"
"17/05/2022","97","86","76","91%","5m, 58s"
"16/05/2022","93","79","74","89%","5m, 47s"
"15/05/2022","53","44","41","89%","9m, 29s"
"14/05/2022","45","41","39","90%","9m, 25s"
"13/05/2022","92","87","68","95%","3m, 54s"
"12/05/2022","76","69","61","91%","5m, 3s"
"11/05/2022","71","61","49","89%","13m, 27s"
"10/05/2022","88","71","58","82%","4m, 24s"
"09/05/2022","79","67","58","85%","3m, 1s"
"08/05/2022","30","28","27","93%","32s, 500ms"
"07/05/2022","35","28","19","86%","11m, 48s"
"06/05/2022","60","54","48","89%","5m, 44s"
"05/05/2022","61","53","44","92%","7m, 45s"
"04/05/2022","89","82","64","93%","6m, 10s"
"03/05/2022","61","53","47","87%","11m, 18s"
"02/05/2022","89","78","64","90%","4m, 24s"
"01/05/2022","49","41","37","85%","6m, 10s"
"30/04/2022","45","39","38","90%","14m, 57s"
"29/04/2022","73","62","54","85%","9m, 3s"
"28/04/2022","52","46","38","87%","8m, 12s"
"27/04/2022","67","59","51","86%","5m, 56s"
"26/04/2022","37","35","29","94%","49s, 500ms"
"25/04/2022","69","65","54","95%","2m, 13s"
"24/04/2022","33","28","27","89%","10m, 29s"
"23/04/2022","43","39","34","95%","15m, 7s"
"22/04/2022","58","48","43","85%","17m, 32s"
"21/04/2022","43","40","36","95%","27s, 667ms"
"20/04/2022","42","38","34","89%","7m, 30s"
"19/04/2022","41","37","36","89%","7m, 44s"
"18/04/2022","71","66","53","94%","4m, 52s"
"17/04/2022","33","30","26","93%","12m, 52s"
"16/04/2022","60","49","47","84%","5m, 45s"
"15/04/2022","56","50","42","94%","18m, 28s"
"14/04/2022","44","40","34","93%","1m, 6s"
"13/04/2022","44","41","37","93%","5m, 19s"
"12/04/2022","50","47","41","94%","3m, 14s"
"11/04/2022","59","50","42","84%","6m, 18s"
"10/04/2022","27","26","24","96%","1m, 8s"
"09/04/2022","33","32","30","97%","22s"
"08/04/2022","56","46","39","80%","8m, 2s"
"07/04/2022","49","43","33","91%","2m, 38s"
"06/04/2022","61","52","48","87%","5m, 7s"
"05/04/2022","43","37","33","89%","10m, 14s"
"04/04/2022","44","41","32","95%","13m, 30s"
"03/04/2022","29","27","26","93%","1m, 7s"
"02/04/2022","29","27","19","96%","2m, 10s"
"01/04/2022","56","45","37","87%","24m, 11s"
"31/03/2022","31","26","25","85%","5m, 4s"
"30/03/2022","31","30","28","97%","6m, 46s"
"29/03/2022","25","24","24","96%","41s"
"28/03/2022","56","51","42","90%","9m, 35s"
"27/03/2022","19","19","18","100%",
"26/03/2022","45","40","34","90%","9m, 21s"
"25/03/2022","25","20","18","80%","8m, 20s"
"24/03/2022","42","38","34","89%","3m, 28s"
"23/03/2022","40","39","35","97%","4m, 19s"
"22/03/2022","47","44","39","93%","12m, 667ms"
"21/03/2022","47","40","34","88%","7m, 33s"
"20/03/2022","23","21","20","90%","10m, 49s"
"19/03/2022","32","28","27","93%","6m, 47s"
"18/03/2022","37","30","25","80%","5m, 2s"
"17/03/2022","43","39","34","90%","5m, 56s"
"16/03/2022","38","33","31","88%","4m, 56s"
"15/03/2022","43","39","34","90%","7m, 45s"
"14/03/2022","55","50","45","90%","9m, 600ms"
"13/03/2022","23","20","18","90%","14m, 11s"
"12/03/2022","44","34","33","85%","7m, 54s"
"11/03/2022","51","45","39","87%","6m, 1s"
"10/03/2022","32","27","24","85%","6m, 58s"
"09/03/2022","50","45","42","89%","7m, 800ms"
"08/03/2022","51","46","42","91%","32s, 200ms"
"07/03/2022","42","39","35","95%","2m, 6s"
"06/03/2022","31","28","26","89%","5m, 27s"
"05/03/2022","27","23","19","83%","10m, 5s"
"04/03/2022","49","44","36","89%","11m, 20s"
"03/03/2022","34","30","28","93%","20m, 56s"
"02/03/2022","38","34","29","91%","7m, 9s"
"01/03/2022","68","61","52","89%","11m, 3s"
"28/02/2022","71","60","51","88%","10m, 34s"
"27/02/2022","40","35","31","89%","6m, 19s"
"26/02/2022","47","39","34","87%","4m, 47s"
"25/02/2022","56","49","42","86%","6m, 15s"
"24/02/2022","51","46","37","93%","10m, 59s"
"23/02/2022","63","57","45","89%","8m, 11s"
"22/02/2022","43","38","32","87%","3m, 4s"
"21/02/2022","71","67","51","96%","53s"
"20/02/2022","41","32","28","84%","10m, 11s"
"19/02/2022","45","36","32","83%","8m, 10s"
"18/02/2022","58","52","43","90%","14m"
"17/02/2022","48","41","37","85%","3m, 5s"
"16/02/2022","39","34","32","85%","3m, 31s"
"15/02/2022","30","29","27","97%","18m, 30s"
"14/02/2022","75","66","58","86%","2m, 8s"
"13/02/2022","27","26","23","96%","8s"
