"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"12/02/2022","26","23","21","87%","3m, 2s"
"11/02/2022","72","61","52","82%","5m, 38s"
"10/02/2022","44","42","35","95%","12m, 21s"
"09/02/2022","51","45","40","87%","3m, 27s"
"08/02/2022","55","48","43","88%","6m, 1s"
"07/02/2022","62","60","45","97%","2m, 17s"
"06/02/2022","34","30","25","87%","5m, 49s"
"05/02/2022","32","26","23","81%","6m, 57s"
"04/02/2022","45","42","37","95%","58s, 667ms"
"03/02/2022","72","66","56","94%","15m, 22s"
"02/02/2022","53","46","42","85%","12m, 23s"
"01/02/2022","21","20","19","95%","8m, 42s"
"31/01/2022","54","50","38","94%","4m, 32s"
"30/01/2022","36","24","22","75%","3m, 47s"
"29/01/2022","27","25","24","92%","48s"
"28/01/2022","77","70","49","91%","8m, 13s"
"27/01/2022","81","63","50","76%","7m, 32s"
"26/01/2022","66","56","47","89%","9m, 57s"
"25/01/2022","44","42","38","98%","5m, 52s"
"24/01/2022","93","78","60","85%","9m, 27s"
"23/01/2022","33","31","30","94%","2m, 56s"
"22/01/2022","45","42","40","93%","2m, 48s"
"21/01/2022","50","47","37","94%","4m, 32s"
"20/01/2022","50","46","40","93%","11m, 30s"
"19/01/2022","63","57","50","95%","15m, 34s"
"18/01/2022","47","43","39","93%","13m, 48s"
"17/01/2022","67","59","50","90%","2m, 43s"
"16/01/2022","45","37","32","95%","55m, 3s"
"15/01/2022","56","53","48","94%","7m, 43s"
"14/01/2022","86","70","55","81%","6m, 45s"
"13/01/2022","48","48","37","100%",
"12/01/2022","48","43","39","93%","15m, 17s"
"11/01/2022","49","41","37","85%","6m, 34s"
"10/01/2022","57","53","44","94%","11m, 32s"
"09/01/2022","40","35","30","86%","59s, 800ms"
"08/01/2022","51","43","36","93%","1m, 46s"
"07/01/2022","52","48","43","92%","4m, 34s"
"06/01/2022","46","42","34","93%","8m, 19s"
"05/01/2022","58","50","41","86%","5m, 3s"
"04/01/2022","60","53","46","91%","4m, 22s"
"03/01/2022","77","67","53","88%","7m, 26s"
"02/01/2022","46","40","31","90%","6m, 45s"
"01/01/2022","31","31","27","100%",
"31/12/2021","54","49","44","94%","11m, 23s"
"30/12/2021","53","44","37","89%","9m, 21s"
"29/12/2021","47","42","34","88%","7m, 13s"
"28/12/2021","52","51","48","98%","1m, 5s"
