"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"27/12/2021","81","73","65","92%","11m, 57s"
"26/12/2021","27","27","24","100%",
"25/12/2021","42","35","32","80%","3m, 21s"
"24/12/2021","54","48","42","92%","3m, 54s"
"23/12/2021","53","44","36","82%","8m, 26s"
"22/12/2021","42","36","30","89%","9m, 24s"
"21/12/2021","51","46","42","89%","8m, 35s"
"20/12/2021","57","53","49","92%","9m, 41s"
"19/12/2021","41","37","33","92%","7m, 40s"
"18/12/2021","27","24","22","88%","15m, 26s"
"17/12/2021","63","58","43","91%","8m, 35s"
"16/12/2021","54","44","41","93%","6m, 41s"
"15/12/2021","52","45","44","87%","4m, 22s"
"14/12/2021","53","46","38","87%","7m, 25s"
"13/12/2021","60","51","45","84%","5m, 15s"
"12/12/2021","29","27","25","93%","4m, 32s"
"11/12/2021","36","34","26","94%","9m, 57s"
"10/12/2021","58","52","45","88%","5m, 53s"
"09/12/2021","43","41","36","95%","6m, 47s"
"08/12/2021","69","58","50","81%","3m, 37s"
"07/12/2021","38","34","30","88%","5m, 41s"
"06/12/2021","79","66","54","83%","8m, 53s"
"05/12/2021","50","44","37","91%","4m, 9s"
"04/12/2021","40","35","26","89%","1m, 23s"
"03/12/2021","60","52","44","88%","15m, 53s"
"02/12/2021","67","57","49","86%","5m, 55s"
"01/12/2021","51","44","38","93%","19m, 333ms"
"30/11/2021","39","36","34","92%","2m, 15s"
"29/11/2021","85","68","52","84%","12m, 42s"
"28/11/2021","23","22","22","95%","1m, 29s"
"27/11/2021","27","23","23","83%","39s, 250ms"
"26/11/2021","44","38","36","87%","4m, 25s"
"25/11/2021","35","30","24","83%","7m, 57s"
"24/11/2021","22","22","19","100%",
"23/11/2021","35","35","31","100%",
"22/11/2021","41","35","33","86%","10m, 4s"
"21/11/2021","17","17","17","100%",
"20/11/2021","31","27","24","85%","4m, 7s"
"19/11/2021","52","44","39","84%","8m, 46s"
"18/11/2021","43","37","35","86%","6m, 3s"
"17/11/2021","26","24","22","92%","7m, 14s"
"16/11/2021","57","49","43","88%","12m, 24s"
"15/11/2021","48","42","38","88%","4m, 11s"
"14/11/2021","22","19","17","89%","5m, 46s"
"13/11/2021","35","29","24","83%","8m, 43s"
"12/11/2021","39","36","29","92%","2m, 47s"
"11/11/2021","30","26","23","88%","5m, 15s"
"10/11/2021","35","33","27","94%","1m, 21s"
"09/11/2021","39","39","33","100%",
"08/11/2021","41","35","31","86%","16m, 48s"
"07/11/2021","25","23","19","91%","2m, 53s"
"06/11/2021","29","24","20","88%","10m, 35s"
"05/11/2021","59","52","39","87%","5m, 52s"
"04/11/2021","29","24","20","88%","7m, 9s"
"03/11/2021","28","24","22","83%","12m, 37s"
"02/11/2021","35","31","28","90%","6m, 19s"
"01/11/2021","32","30","25","93%","10m, 36s"
"31/10/2021","30","28","24","93%","3m, 12s"
"30/10/2021","26","23","21","87%","3m, 5s"
"29/10/2021","43","33","27","76%","4m, 14s"
"28/10/2021","22","21","19","95%","20m, 45s"
"27/10/2021","27","24","20","88%","2m, 25s"
"26/10/2021","23","20","18","85%","3m, 17s"
"25/10/2021","48","43","39","88%","42s"
"24/10/2021","24","22","20","95%","1m, 12s"
"23/10/2021","36","31","28","87%","6m, 35s"
"22/10/2021","45","35","29","80%","6m, 42s"
"21/10/2021","33","28","18","86%","4m, 14s"
"20/10/2021","28","24","22","83%","11m, 22s"
"19/10/2021","34","31","25","90%","2m, 6s"
"18/10/2021","39","35","28","89%","1m, 28s"
"17/10/2021","18","14","13","79%","6m, 51s"
"16/10/2021","31","27","26","85%","7m, 11s"
"15/10/2021","24","23","23","96%","10m, 13s"
"14/10/2021","27","27","26","100%",
"13/10/2021","34","29","26","86%","2m, 13s"
"12/10/2021","32","28","27","86%","2m, 13s"
"11/10/2021","31","31","29","100%",
"10/10/2021","29","25","23","88%","11m, 50s"
"09/10/2021","25","21","18","81%","1m, 42s"
"08/10/2021","24","23","22","96%","10s"
"07/10/2021","30","24","21","83%","7m, 37s"
"06/10/2021","47","39","34","85%","3m, 16s"
"05/10/2021","24","23","22","96%","9s"
"04/10/2021","37","33","26","94%","20m, 38s"
"03/10/2021","18","15","13","80%","3m, 37s"
"02/10/2021","20","16","14","81%","15m, 16s"
"01/10/2021","22","22","17","100%",
"30/09/2021","32","27","23","81%","7m, 37s"
"29/09/2021","33","32","31","97%","1m, 42s"
"28/09/2021","30","24","23","79%","2m, 49s"
"27/09/2021","32","30","27","93%","47s, 500ms"
"26/09/2021","21","16","16","75%","1m, 5s"
"25/09/2021","18","17","17","94%","3m, 38s"
"24/09/2021","26","24","23","92%","16m, 59s"
"23/09/2021","35","30","27","87%","3m, 59s"
"22/09/2021","29","23","23","78%","5m, 53s"
"21/09/2021","22","22","20","100%",
"20/09/2021","52","48","44","94%","8m, 13s"
"19/09/2021","16","14","13","86%","9m, 9s"
"18/09/2021","31","26","24","85%","8m, 33s"
"17/09/2021","32","26","23","85%","4m, 31s"
"16/09/2021","29","28","27","96%","6m, 33s"
"15/09/2021","34","30","26","87%","1m, 16s"
"14/09/2021","20","20","18","100%",
"13/09/2021","45","43","37","95%","2m, 45s"
"12/09/2021","38","35","35","91%","4m, 29s"
"11/09/2021","24","21","18","90%","15m, 14s"
"10/09/2021","47","40","33","85%","6m, 37s"
"09/09/2021","40","36","29","92%","2m, 26s"
"08/09/2021","38","34","32","88%","4m, 39s"
"07/09/2021","39","36","30","92%","18m, 37s"
"06/09/2021","47","43","36","91%","7m, 22s"
"05/09/2021","23","20","18","95%","5m, 28s"
"04/09/2021","23","21","19","90%","6m, 16s"
"03/09/2021","35","30","30","87%","47s, 500ms"
"02/09/2021","31","30","26","97%","9m, 4s"
"01/09/2021","40","31","27","81%","15m, 833ms"
"31/08/2021","34","28","27","89%","8m, 25s"
"30/08/2021","40","34","28","85%","6m, 16s"
"29/08/2021","33","29","21","86%","6m, 36s"
"28/08/2021","22","21","21","95%","2m, 34s"
"27/08/2021","40","35","30","86%","6m, 47s"
"26/08/2021","30","27","25","89%","3m, 19s"
"25/08/2021","38","36","32","94%","28s"
"24/08/2021","32","30","29","93%","9m, 11s"
"23/08/2021","45","34","31","85%","10m, 50s"
"22/08/2021","16","16","14","100%",
"21/08/2021","24","22","21","91%","1m, 23s"
"20/08/2021","32","31","26","97%","13s"
"19/08/2021","30","28","23","93%","6s, 500ms"
"18/08/2021","52","44","40","84%","6m, 38s"
"17/08/2021","38","35","35","91%","7m, 6s"
"16/08/2021","30","28","24","93%","51s"
"15/08/2021","21","19","18","89%","3m, 24s"
"14/08/2021","14","14","13","100%",
"13/08/2021","46","41","32","88%","56s"
"12/08/2021","24","23","20","96%","5s"
"11/08/2021","33","30","26","90%","9m, 11s"
"10/08/2021","47","37","30","81%","18m, 33s"
"09/08/2021","26","25","24","96%","2m, 17s"
"08/08/2021","15","15","15","100%",
"07/08/2021","20","19","17","95%","3m, 37s"
"06/08/2021","24","22","20","91%","4m, 35s"
"05/08/2021","23","20","18","90%","8m, 41s"
"04/08/2021","31","29","26","93%","9m, 42s"
"03/08/2021","31","29","25","93%","1m, 5s"
"02/08/2021","53","49","43","94%","4m, 53s"
"01/08/2021","13","13","11","100%",
"31/07/2021","17","16","15","94%","50s"
"30/07/2021","33","31","26","94%","1m, 39s"
"29/07/2021","37","31","25","90%","18m, 59s"
"28/07/2021","52","48","39","94%","6m, 43s"
"27/07/2021","43","35","31","86%","17m, 50s"
"26/07/2021","37","36","33","97%","19m, 11s"
"25/07/2021","20","16","15","81%","11m, 45s"
"24/07/2021","21","20","17","95%","13m, 58s"
"23/07/2021","37","30","26","80%","3m, 57s"
"22/07/2021","32","30","25","93%","3m, 19s"
"21/07/2021","50","46","39","91%","6m, 5s"
"20/07/2021","18","14","14","79%","16m, 58s"
"19/07/2021","44","36","30","83%","8m, 22s"
"18/07/2021","14","14","12","100%",
"17/07/2021","17","17","15","100%",
"16/07/2021","33","27","27","78%","8m, 26s"
"15/07/2021","25","21","20","86%","2m, 9s"
"14/07/2021","32","30","26","93%","3m, 38s"
"13/07/2021","21","19","17","89%","2m, 14s"
"12/07/2021","58","46","35","80%","5m, 13s"
"11/07/2021","24","23","19","96%","10s"
"10/07/2021","15","15","15","100%",
"09/07/2021","24","22","18","91%","7s"
"08/07/2021","20","19","18","95%","9m, 1s"
"07/07/2021","20","15","14","80%","4m, 8s"
"06/07/2021","23","20","17","85%","1m, 12s"
"05/07/2021","23","19","19","79%","1m, 32s"
"04/07/2021","9","9","9","100%",
"03/07/2021","14","14","12","100%",
"02/07/2021","37","33","24","91%","7m, 42s"
"01/07/2021","11","11","10","100%",
"30/06/2021","26","22","20","86%","8m, 17s"
"29/06/2021","29","24","22","79%","6m, 57s"
"28/06/2021","34","31","26","90%","13m, 8s"
"27/06/2021","13","13","13","100%",
"26/06/2021","19","18","14","94%","14m, 17s"
"25/06/2021","28","24","19","88%","13m, 25s"
"24/06/2021","24","23","22","96%","2m, 58s"
"23/06/2021","35","33","28","97%","9m, 18s"
"22/06/2021","26","23","20","87%","8m, 16s"
"21/06/2021","32","30","28","93%","29s, 500ms"
"20/06/2021","15","15","13","100%",
"19/06/2021","13","10","7","70%","2m, 3s"
"18/06/2021","15","14","14","93%","1m, 24s"
"17/06/2021","14","14","13","100%",
"16/06/2021","25","22","19","95%","7m, 3s"
"15/06/2021","26","20","18","90%","6m, 52s"
"14/06/2021","11","11","11","100%",
"13/06/2021","8","8","8","100%",
"12/06/2021","11","10","9","90%","5m, 20s"
"11/06/2021","19","18","15","94%","2m, 32s"
"10/06/2021","25","22","18","86%","2m, 2s"
"09/06/2021","10","10","9","100%",
"08/06/2021","21","20","18","95%","8m, 36s"
"07/06/2021","27","24","23","92%","25s"
"06/06/2021","19","15","15","73%","1m, 1s"
"05/06/2021","23","20","16","90%","3m, 47s"
"04/06/2021","40","34","29","85%","12m, 24s"
"03/06/2021","23","22","20","95%","4m, 31s"
"02/06/2021","24","21","21","90%","20s"
"01/06/2021","15","14","14","93%","3m, 3s"
"31/05/2021","22","21","17","100%","2s"
"30/05/2021","13","13","13","100%",
"29/05/2021","14","14","13","100%",
"28/05/2021","26","23","22","87%","3m, 39s"
"27/05/2021","38","33","26","88%","9m, 20s"
"26/05/2021","17","14","14","79%","48s"
"25/05/2021","36","32","25","91%","10m, 31s"
"24/05/2021","34","29","24","86%","11m, 21s"
"23/05/2021","24","22","21","91%","5m, 47s"
"22/05/2021","16","14","10","86%","32s, 500ms"
"21/05/2021","24","23","18","96%","4m, 6s"
"20/05/2021","32","29","24","90%","11m, 7s"
"19/05/2021","36","32","26","88%","43s, 750ms"
"18/05/2021","37","35","29","94%","7m, 7s"
"17/05/2021","55","54","43","98%","1m, 17s"
"16/05/2021","23","20","16","90%","18m, 31s"
"15/05/2021","38","32","29","84%","6m, 51s"
"14/05/2021","55","46","35","89%","5m, 21s"
"13/05/2021","28","23","22","78%","1m, 20s"
"12/05/2021","28","25","25","88%","11m, 11s"
"11/05/2021","34","32","30","97%","47s"
"10/05/2021","48","39","30","87%","12m, 8s"
"09/05/2021","21","19","17","89%","46s, 500ms"
"08/05/2021","14","12","11","92%","7m, 29s"
"07/05/2021","48","41","34","83%","5m, 1s"
"06/05/2021","40","35","29","91%","11m, 7s"
"05/05/2021","54","48","40","90%","7m, 38s"
"04/05/2021","26","25","24","96%","2m, 52s"
"03/05/2021","36","35","30","97%","1m, 34s"
"02/05/2021","36","33","28","91%","4m, 58s"
"01/05/2021","45","39","35","92%","7m, 6s"
"30/04/2021","43","35","29","77%","6m, 55s"
"29/04/2021","31","29","27","93%","2m, 22s"
"28/04/2021","39","37","33","95%","9m, 37s"
"27/04/2021","28","25","22","88%","1m, 32s"
"26/04/2021","49","41","34","85%","12m, 43s"
"25/04/2021","22","21","20","95%","14m, 49s"
"24/04/2021","21","19","18","95%","1m, 43s"
"23/04/2021","35","30","26","83%","1m, 23s"
"22/04/2021","49","46","39","93%","1m, 27s"
"21/04/2021","45","38","34","89%","13m, 49s"
"20/04/2021","30","27","25","89%","15m, 30s"
"19/04/2021","38","36","34","97%","1m, 44s"
"18/04/2021","22","19","15","89%","7m, 15s"
"17/04/2021","23","22","20","95%","6m, 45s"
"16/04/2021","59","49","39","82%","5m, 4s"
"15/04/2021","49","41","35","83%","6m, 21s"
"14/04/2021","27","26","23","96%","1m, 2s"
"13/04/2021","31","28","25","93%","14m, 26s"
"12/04/2021","52","42","36","86%","11m, 40s"
"11/04/2021","15","15","15","100%",
"10/04/2021","25","20","19","75%","2m, 41s"
"09/04/2021","45","35","27","83%","6m, 35s"
"08/04/2021","35","34","30","97%","17s"
"07/04/2021","51","44","38","89%","9m, 7s"
"06/04/2021","38","34","30","91%","4m, 11s"
"05/04/2021","34","30","25","87%","3m, 18s"
"04/04/2021","20","16","16","88%","12m, 19s"
"03/04/2021","28","24","21","83%","4m, 33s"
"02/04/2021","48","37","33","78%","11m, 1s"
"01/04/2021","29","28","26","96%","18m, 12s"
"31/03/2021","29","27","25","93%","45s"
"30/03/2021","40","37","31","92%","6m, 16s"
"29/03/2021","39","34","27","88%","3m, 38s"
"28/03/2021","18","16","14","88%","17m, 1s"
"27/03/2021","20","18","17","89%","15m, 32s"
"26/03/2021","47","41","36","85%","8m, 23s"
"25/03/2021","42","36","29","86%","2m, 54s"
"24/03/2021","34","30","26","87%","6m, 45s"
"23/03/2021","45","37","27","84%","9m, 59s"
"22/03/2021","42","36","33","86%","8m, 56s"
"21/03/2021","20","18","16","89%","10m, 13s"
"20/03/2021","30","29","27","97%","6s"
"19/03/2021","36","31","27","84%","1m, 800ms"
"18/03/2021","42","36","31","86%","5m, 25s"
"17/03/2021","38","35","32","91%","3m, 46s"
"16/03/2021","32","31","28","97%","1m, 36s"
"15/03/2021","59","52","44","88%","10m, 833ms"
"14/03/2021","28","25","23","92%","14m, 42s"
"13/03/2021","37","32","28","88%","6m, 29s"
"12/03/2021","47","41","35","88%","4m, 2s"
"11/03/2021","35","29","26","86%","6m, 37s"
"10/03/2021","27","24","22","88%","9m, 57s"
"09/03/2021","36","33","29","91%","2m, 7s"
"08/03/2021","55","48","39","92%","2m, 24s"
"07/03/2021","24","19","17","79%","2m, 29s"
"06/03/2021","28","23","21","87%","10m, 29s"
"05/03/2021","37","33","31","88%","4m, 19s"
"04/03/2021","49","40","32","90%","31m, 5s"
"03/03/2021","27","27","25","100%",
"02/03/2021","24","20","20","85%","18m, 27s"
"01/03/2021","40","37","30","92%","3m, 28s"
"28/02/2021","27","16","14","75%","7m, 2s"
"27/02/2021","34","31","25","90%","48s"
"26/02/2021","50","45","39","89%","4m, 14s"
"25/02/2021","28","27","24","96%","4m, 27s"
"24/02/2021","28","23","21","83%","5m, 20s"
"23/02/2021","43","42","34","98%","8m, 14s"
"22/02/2021","55","46","39","83%","8m, 17s"
"21/02/2021","22","21","19","95%","17s"
"20/02/2021","33","31","27","94%","8m, 5s"
"19/02/2021","46","43","35","93%","6m, 1s"
"18/02/2021","48","41","32","83%","10m, 50s"
"17/02/2021","37","34","30","94%","6m, 21s"
"16/02/2021","39","33","24","88%","9m, 59s"
"15/02/2021","68","54","40","89%","23m, 40s"
"14/02/2021","20","17","16","82%","40s, 667ms"
"13/02/2021","29","26","21","88%","1m, 33s"
