"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"12/02/2025","35","34","31","97%","15m, 29s"
"11/02/2025","36","34","33","94%","2m, 52s"
"10/02/2025","45","42","36","95%","6m, 42s"
"09/02/2025","18","17","17","94%","17s"
"08/02/2025","38","31","28","81%","8m, 34s"
"07/02/2025","39","34","30","88%","10m, 57s"
"06/02/2025","33","29","24","86%","9m, 16s"
"05/02/2025","54","49","42","90%","4m, 44s"
"04/02/2025","49","43","33","88%","8m, 58s"
"03/02/2025","66","56","45","88%","6m, 52s"
"02/02/2025","18","17","15","94%","2m, 6s"
"01/02/2025","36","33","28","91%","7m, 57s"
"31/01/2025","68","64","57","94%","3m, 13s"
"30/01/2025","28","24","23","83%","3m, 53s"
"29/01/2025","20","19","18","95%","3m, 1s"
"28/01/2025","18","17","16","94%","9m, 34s"
"27/01/2025","32","28","26","86%","5m, 30s"
"26/01/2025","22","20","20","90%","52s, 500ms"
"25/01/2025","17","16","13","94%","3m, 16s"
"24/01/2025","37","33","28","88%","4m, 49s"
"23/01/2025","34","28","26","89%","4m, 29s"
"22/01/2025","26","25","25","96%","1m, 58s"
"21/01/2025","34","31","27","90%","9m, 14s"
"20/01/2025","59","54","50","93%","10m, 53s"
"19/01/2025","26","20","17","85%","7m, 51s"
"18/01/2025","15","15","11","100%",
"17/01/2025","32","29","22","90%","7m, 32s"
"16/01/2025","20","17","16","82%","10m, 38s"
"15/01/2025","43","37","31","86%","6m, 21s"
"14/01/2025","28","26","23","92%","41s"
"13/01/2025","65","61","52","93%","7m, 33s"
"12/01/2025","19","19","17","100%",
"11/01/2025","33","32","24","97%","20m, 28s"
"10/01/2025","32","30","27","97%","4m, 1s"
"09/01/2025","32","30","28","93%","1m, 13s"
"08/01/2025","56","50","46","92%","14m, 14s"
"07/01/2025","20","18","18","89%","43s, 500ms"
"06/01/2025","52","45","40","87%","3m, 12s"
"05/01/2025","29","27","25","93%","43s"
"04/01/2025","35","27","23","74%","5m, 22s"
"03/01/2025","63","55","47","85%","5m, 25s"
"02/01/2025","48","45","36","93%","5m, 36s"
"01/01/2025","25","24","22","96%","2m, 23s"
"31/12/2024","37","27","23","78%","8m, 42s"
"30/12/2024","38","33","33","85%","11m, 46s"
"29/12/2024","28","25","25","88%","1m, 29s"
"28/12/2024","25","24","21","96%","2m, 20s"
"27/12/2024","28","26","26","92%","1m, 6s"
"26/12/2024","32","30","27","97%","3m, 36s"
"25/12/2024","16","15","14","93%","7m, 35s"
"24/12/2024","26","24","21","92%","1m, 53s"
"23/12/2024","39","36","29","94%","20m"
"22/12/2024","23","21","18","90%","9s"
"21/12/2024","31","29","25","93%","6m, 10s"
"20/12/2024","29","26","21","92%","5m, 43s"
"19/12/2024","35","31","29","87%","14m, 51s"
"18/12/2024","25","23","22","91%","39s"
"17/12/2024","19","18","15","94%","22s"
"16/12/2024","52","47","40","89%","9m, 34s"
"15/12/2024","22","21","20","95%","59s"
"14/12/2024","23","22","17","95%","49s"
"13/12/2024","41","31","29","74%","5m, 25s"
"12/12/2024","47","40","32","88%","8m, 15s"
"11/12/2024","46","38","32","82%","4m, 47s"
"10/12/2024","38","32","29","88%","7m, 26s"
"09/12/2024","66","59","44","90%","9m, 44s"
"08/12/2024","25","22","19","95%","12m, 43s"
"07/12/2024","26","24","23","92%","5m, 21s"
"06/12/2024","51","43","36","81%","10m, 31s"
"05/12/2024","28","27","26","96%","9m, 18s"
"04/12/2024","50","43","39","84%","4m, 26s"
"03/12/2024","44","39","35","95%","3m, 30s"
"02/12/2024","65","59","48","90%","4m, 30s"
"01/12/2024","15","14","13","93%","1m, 16s"
"30/11/2024","20","19","16","95%","9s"
"29/11/2024","33","30","29","90%","3m, 47s"
"28/11/2024","36","35","27","97%","50s"
"27/11/2024","52","46","39","87%","3m, 31s"
"26/11/2024","41","36","30","89%","29s"
"25/11/2024","37","33","31","88%","13m, 33s"
"24/11/2024","32","28","26","89%","8m, 41s"
"23/11/2024","16","16","16","100%",
"22/11/2024","33","31","29","94%","7m, 11s"
"21/11/2024","21","20","19","95%","1m, 23s"
"20/11/2024","41","36","33","86%","4m, 52s"
"19/11/2024","35","34","31","97%","7s"
"18/11/2024","46","43","36","93%","46s, 333ms"
"17/11/2024","9","9","9","100%",
"16/11/2024","17","15","14","87%","2m, 6s"
"15/11/2024","31","26","25","81%","4m, 54s"
"14/11/2024","41","36","29","92%","28m, 52s"
"13/11/2024","25","23","20","91%","10m, 37s"
"12/11/2024","27","23","22","91%","8m, 28s"
"11/11/2024","71","61","46","87%","9m, 14s"
"10/11/2024","25","25","20","100%",
"09/11/2024","12","12","12","100%",
"08/11/2024","41","34","29","88%","8m, 11s"
"07/11/2024","40","31","29","87%","11m, 38s"
"06/11/2024","27","26","23","96%","47s"
"05/11/2024","33","32","30","97%","1m, 27s"
"04/11/2024","65","60","51","95%","10m, 38s"
