"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"03/11/2024","23","23","22","100%",
"02/11/2024","38","34","28","91%","4m, 7s"
"01/11/2024","59","50","41","86%","13m, 59s"
"31/10/2024","41","38","32","92%","1m, 10s"
"30/10/2024","39","35","32","89%","7m, 56s"
"29/10/2024","33","30","27","93%","4m, 36s"
"28/10/2024","49","45","37","93%","8m, 4s"
"27/10/2024","17","17","13","100%",
"26/10/2024","27","25","18","96%","1m, 44s"
"25/10/2024","39","37","32","95%","1m, 7s"
"24/10/2024","31","29","28","93%","2m, 6s"
"23/10/2024","40","31","31","77%","6m, 18s"
"22/10/2024","33","29","25","90%","17m, 59s"
"21/10/2024","60","54","45","89%","7m, 42s"
"20/10/2024","25","25","21","100%",
"19/10/2024","18","18","15","100%",
"18/10/2024","25","22","20","86%","39s, 333ms"
"17/10/2024","29","26","24","88%","9m, 33s"
"16/10/2024","43","39","34","90%","1m, 15s"
"15/10/2024","46","41","34","88%","4m, 14s"
"14/10/2024","54","50","47","92%","5m, 23s"
"13/10/2024","25","22","20","86%","8m, 58s"
"12/10/2024","36","30","25","87%","7m, 58s"
"11/10/2024","54","48","41","90%","11m, 50s"
"10/10/2024","46","40","33","90%","3m, 31s"
"09/10/2024","38","35","26","94%","2m, 8s"
"08/10/2024","40","38","33","95%","32s"
"07/10/2024","69","60","50","88%","11m, 18s"
"06/10/2024","23","21","18","95%","4m, 14s"
"05/10/2024","29","27","24","93%","5m, 32s"
"04/10/2024","45","41","36","90%","4m, 48s"
"03/10/2024","31","30","30","97%","1m, 13s"
"02/10/2024","24","23","20","96%","7m, 26s"
"01/10/2024","44","36","32","83%","1m, 57s"
"30/09/2024","44","39","32","92%","8m, 10s"
"29/09/2024","33","27","23","85%","10m, 18s"
"28/09/2024","20","18","13","89%","31s, 500ms"
"27/09/2024","34","31","27","90%","10m, 16s"
"26/09/2024","30","27","23","89%","11m, 12s"
"25/09/2024","39","35","32","91%","11m, 53s"
"24/09/2024","44","39","34","87%","11m, 53s"
"23/09/2024","32","30","26","93%","22m, 23s"
"22/09/2024","14","13","13","92%","35s"
"21/09/2024","18","18","16","100%",
"20/09/2024","23","19","15","79%","4m, 45s"
"19/09/2024","42","37","30","86%","3m, 59s"
"18/09/2024","37","35","30","94%","1m, 32s"
"17/09/2024","35","31","27","90%","12m, 15s"
"16/09/2024","49","43","34","88%","5m, 24s"
"15/09/2024","11","10","9","90%","1m, 52s"
"14/09/2024","19","16","16","81%","55s, 667ms"
"13/09/2024","52","49","38","96%","14m, 47s"
"12/09/2024","42","35","30","83%","6m, 1s"
"11/09/2024","58","49","44","84%","3m, 9s"
"10/09/2024","39","35","29","89%","1m, 3s"
"09/09/2024","64","55","47","89%","6m, 28s"
"08/09/2024","23","19","17","89%","17m, 6s"
"07/09/2024","28","25","20","88%","11m, 13s"
"06/09/2024","37","35","33","97%","21m, 25s"
"05/09/2024","43","41","35","98%","2m, 55s"
"04/09/2024","39","37","36","95%","51s, 500ms"
"03/09/2024","38","34","29","88%","4m, 26s"
"02/09/2024","71","54","48","78%","11m, 32s"
"01/09/2024","16","15","15","93%","9m, 59s"
"31/08/2024","28","24","24","83%","1m, 44s"
"30/08/2024","50","40","30","83%","4m, 39s"
"29/08/2024","25","24","23","96%","1m, 31s"
"28/08/2024","30","29","22","97%","46s"
"27/08/2024","67","53","44","81%","10m, 29s"
"26/08/2024","57","52","39","92%","4m, 7s"
"25/08/2024","19","18","16","94%","6m, 39s"
"24/08/2024","23","20","17","85%","4m, 41s"
"23/08/2024","58","50","39","90%","5m, 26s"
"22/08/2024","30","27","23","89%","2m, 21s"
"21/08/2024","40","33","28","82%","3m, 9s"
"20/08/2024","24","20","17","80%","4m, 1s"
"19/08/2024","42","38","36","95%","1m, 24s"
"18/08/2024","15","14","13","93%","29s"
"17/08/2024","24","21","19","86%","3m, 3s"
"16/08/2024","35","29","26","90%","4m, 34s"
"15/08/2024","41","39","33","95%","14m, 54s"
"14/08/2024","32","31","28","97%","1m, 29s"
"13/08/2024","34","30","28","87%","16m, 31s"
"12/08/2024","59","54","40","91%","11m, 46s"
"11/08/2024","19","17","16","94%","47s"
"10/08/2024","25","22","20","91%","2m, 10s"
"09/08/2024","16","15","13","93%","16s"
"08/08/2024","25","22","18","86%","8m, 38s"
"07/08/2024","40","37","34","92%","2m, 46s"
"06/08/2024","38","35","33","91%","18m, 8s"
"05/08/2024","68","57","52","82%","6m, 3s"
"04/08/2024","21","19","17","89%","1m, 7s"
"03/08/2024","24","22","20","91%","14m, 2s"
"02/08/2024","28","25","24","92%","1m, 31s"
"01/08/2024","28","25","24","88%","4m, 33s"
"31/07/2024","32","28","25","86%","31s, 500ms"
"30/07/2024","31","30","30","97%","1m, 25s"
"29/07/2024","60","57","45","96%","4m, 3s"
"28/07/2024","21","20","17","95%","14m, 43s"
"27/07/2024","28","24","19","92%","12m, 16s"
"26/07/2024","56","49","38","92%","7m, 12s"
"25/07/2024","33","30","26","90%","10m, 58s"
"24/07/2024","39","36","31","92%","3m, 23s"
"23/07/2024","41","38","35","95%","5m, 23s"
"22/07/2024","37","36","33","97%","18m, 36s"
"21/07/2024","28","25","23","88%","11m, 26s"
"20/07/2024","29","27","23","93%","15m, 56s"
"19/07/2024","50","47","41","94%","5m, 40s"
"18/07/2024","48","45","40","96%","16m, 54s"
"17/07/2024","45","38","30","84%","9m, 40s"
"16/07/2024","50","43","42","91%","5m, 1s"
"15/07/2024","82","67","57","84%","2m, 43s"
"14/07/2024","21","20","19","95%","2m, 14s"
"13/07/2024","27","26","24","96%","5m, 11s"
"12/07/2024","48","45","43","93%","15m, 1s"
"11/07/2024","50","48","42","96%","1m, 12s"
"10/07/2024","43","38","31","87%","6m, 35s"
"09/07/2024","40","39","32","97%","15m, 21s"
"08/07/2024","62","56","45","91%","14m, 18s"
"07/07/2024","16","16","16","100%",
"06/07/2024","20","18","17","89%","1m, 16s"
"05/07/2024","59","48","39","83%","9m, 17s"
"04/07/2024","37","37","31","100%",
"03/07/2024","38","35","31","91%","7m, 28s"
"02/07/2024","41","38","34","92%","18m, 55s"
"01/07/2024","51","49","41","96%","2m, 58s"
"30/06/2024","23","23","20","100%",
"29/06/2024","21","20","18","95%","11m, 6s"
"28/06/2024","57","52","41","94%","14m, 47s"
"27/06/2024","46","41","34","88%","7m, 36s"
"26/06/2024","42","36","32","86%","13m, 10s"
"25/06/2024","40","37","34","92%","8m, 26s"
"24/06/2024","60","56","46","93%","57s"
"23/06/2024","21","19","19","89%","10m, 47s"
"22/06/2024","19","18","18","94%","56s"
"21/06/2024","67","54","49","81%","8m, 18s"
"20/06/2024","37","33","29","88%","7m, 13s"
"19/06/2024","54","43","39","86%","12m, 59s"
"18/06/2024","64","56","46","88%","8m, 45s"
"17/06/2024","48","40","37","83%","8m, 30s"
"16/06/2024","21","21","21","100%",
"15/06/2024","29","26","25","92%","39s"
"14/06/2024","28","28","24","100%",
"13/06/2024","37","35","30","97%","7m, 14s"
"12/06/2024","55","51","43","94%","2m, 47s"
"11/06/2024","26","26","23","100%",
"10/06/2024","67","62","49","94%","9m, 14s"
"09/06/2024","22","21","19","95%","8s"
"08/06/2024","30","26","22","92%","12m, 59s"
"07/06/2024","52","46","42","89%","2m, 29s"
"06/06/2024","81","69","61","88%","4m, 3s"
"05/06/2024","55","50","46","96%","4m, 4s"
"04/06/2024","38","34","29","94%","28m, 20s"
"03/06/2024","72","58","49","86%","9m, 24s"
"02/06/2024","14","14","13","100%",
"01/06/2024","31","26","22","92%","19m, 26s"
"31/05/2024","42","34","32","76%","6m, 7s"
"30/05/2024","26","24","21","92%","9m, 31s"
"29/05/2024","61","52","46","88%","12m, 41s"
"28/05/2024","44","39","36","87%","4m, 51s"
"27/05/2024","53","49","43","92%","6m, 53s"
"26/05/2024","21","21","21","100%",
"25/05/2024","32","29","26","93%","8m, 5s"
"24/05/2024","40","37","30","92%","21m, 28s"
"23/05/2024","69","55","44","85%","10m, 4s"
"22/05/2024","49","43","39","88%","1m, 15s"
"21/05/2024","60","57","51","95%","6m, 14s"
"20/05/2024","77","63","51","83%","7m, 19s"
"19/05/2024","19","19","19","100%",
"18/05/2024","36","31","25","87%","1m, 15s"
"17/05/2024","60","51","43","84%","10m, 41s"
"16/05/2024","51","46","42","91%","8m, 4s"
"15/05/2024","39","36","33","92%","4m, 51s"
"14/05/2024","43","38","31","87%","5m, 17s"
"13/05/2024","62","51","44","86%","11m, 37s"
"12/05/2024","27","25","24","96%","3m, 19s"
"11/05/2024","34","30","26","87%","4m, 6s"
"10/05/2024","34","30","29","87%","5m, 35s"
"09/05/2024","45","43","36","95%","8m, 36s"
"08/05/2024","39","37","33","95%","9m, 37s"
"07/05/2024","44","40","33","93%","1m, 34s"
"06/05/2024","77","69","54","88%","3m, 42s"
"05/05/2024","35","30","26","87%","5m, 23s"
"04/05/2024","28","28","24","100%",
"03/05/2024","55","50","45","92%","4m, 18s"
"02/05/2024","66","55","43","87%","5m, 6s"
"01/05/2024","32","29","26","90%","6m, 34s"
"30/04/2024","53","47","42","87%","9m, 11s"
"29/04/2024","77","71","55","92%","16m, 26s"
"28/04/2024","30","30","26","100%",
"27/04/2024","33","28","25","89%","11m, 16s"
"26/04/2024","72","61","47","84%","9m, 6s"
"25/04/2024","41","35","30","83%","5m, 14s"
"24/04/2024","54","44","36","86%","9m, 13s"
"23/04/2024","40","35","30","89%","12m, 45s"
"22/04/2024","68","60","55","88%","4m, 32s"
"21/04/2024","24","21","20","86%","8m, 34s"
"20/04/2024","23","20","17","90%","18m, 40s"
"19/04/2024","50","44","34","86%","2m, 50s"
"18/04/2024","27","23","17","87%","8m, 29s"
"17/04/2024","29","28","24","96%","2m, 18s"
"16/04/2024","34","29","26","90%","9m, 44s"
"15/04/2024","63","54","41","87%","12m, 35s"
"14/04/2024","26","25","23","96%","27s"
"13/04/2024","19","18","14","94%","10m, 42s"
"12/04/2024","40","38","31","95%","12s"
"11/04/2024","35","35","31","100%",
"10/04/2024","28","26","25","92%","14m, 24s"
"09/04/2024","36","32","25","91%","1m, 48s"
"08/04/2024","57","48","41","90%","9m, 28s"
"07/04/2024","18","15","13","93%","20m, 31s"
"06/04/2024","27","23","20","87%","38s, 250ms"
"05/04/2024","49","46","41","96%","29s"
"04/04/2024","41","39","30","95%","11m, 46s"
"03/04/2024","30","30","25","100%",
"02/04/2024","49","47","41","96%","16m, 39s"
"01/04/2024","70","63","53","94%","7m, 47s"
"31/03/2024","22","18","17","94%","39m, 37s"
"30/03/2024","26","26","25","100%",
"29/03/2024","27","25","25","92%","2m, 48s"
"28/03/2024","33","30","26","90%","8m, 20s"
"27/03/2024","59","58","42","98%","1m, 8s"
"26/03/2024","48","45","38","96%","6m, 15s"
"25/03/2024","55","52","45","94%","9m, 55s"
"24/03/2024","10","10","10","100%",
"23/03/2024","22","21","20","95%","1m, 48s"
"22/03/2024","43","35","29","77%","9m, 15s"
"21/03/2024","29","26","25","88%","4m, 41s"
"20/03/2024","46","42","36","93%","7m, 12s"
"19/03/2024","44","40","27","95%","15m, 49s"
"18/03/2024","84","74","55","91%","9m, 49s"
"17/03/2024","32","28","24","86%","6m, 48s"
"16/03/2024","32","31","24","97%","5m, 24s"
"15/03/2024","36","31","28","94%","13m, 56s"
"14/03/2024","49","43","40","88%","4m, 45s"
"13/03/2024","40","37","32","95%","11m, 6s"
"12/03/2024","45","40","38","93%","17m, 52s"
"11/03/2024","47","43","36","91%","2m, 52s"
"10/03/2024","30","28","24","93%","20m, 22s"
"09/03/2024","26","23","22","91%","10m, 59s"
"08/03/2024","58","46","39","85%","11m, 42s"
"07/03/2024","39","35","34","89%","7m, 52s"
"06/03/2024","53","47","40","89%","9m, 19s"
"05/03/2024","50","44","41","86%","4m, 30s"
"04/03/2024","58","54","46","93%","1m, 18s"
"03/03/2024","33","25","20","72%","4m, 27s"
"02/03/2024","41","38","28","92%","20m, 35s"
"01/03/2024","39","38","32","97%","8m, 21s"
"29/02/2024","50","47","36","94%","9m, 3s"
"28/02/2024","52","51","43","98%","44s"
"27/02/2024","54","50","47","92%","4m, 30s"
"26/02/2024","70","62","48","89%","10m, 17s"
"25/02/2024","37","35","30","94%","10m, 29s"
"24/02/2024","35","30","28","87%","9m, 35s"
"23/02/2024","43","41","36","95%","33s"
"22/02/2024","49","39","36","82%","10m, 38s"
"21/02/2024","75","63","55","83%","7m, 46s"
"20/02/2024","40","39","31","97%","24s"
"19/02/2024","82","74","58","92%","4m, 41s"
"18/02/2024","17","16","15","94%","23s"
"17/02/2024","35","32","28","91%","17m, 5s"
"16/02/2024","68","58","49","88%","5m, 31s"
"15/02/2024","53","47","40","89%","20m, 31s"
"14/02/2024","73","66","52","89%","6m, 41s"
"13/02/2024","102","95","73","94%","6m, 31s"
