"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"21/11/2023","56","48","35","88%","10m, 1s"
"20/11/2023","55","49","38","92%","13m, 28s"
"19/11/2023","31","29","25","97%","1m, 43s"
"18/11/2023","32","29","23","93%","12m, 29s"
"17/11/2023","38","35","32","91%","5m, 40s"
"16/11/2023","42","40","32","95%","2m, 5s"
"15/11/2023","53","48","42","92%","5m, 26s"
"14/11/2023","49","41","38","80%","7m"
"13/11/2023","45","38","31","89%","5m, 40s"
"12/11/2023","26","23","20","87%","1m, 35s"
"11/11/2023","26","23","17","87%","1m, 35s"
"10/11/2023","35","30","25","90%","8m, 34s"
"09/11/2023","38","31","22","77%","8m, 7s"
"08/11/2023","42","40","34","95%","9m, 33s"
"07/11/2023","38","35","31","91%","3m, 58s"
"06/11/2023","74","67","55","93%","7m, 15s"
"05/11/2023","31","23","21","78%","3m, 32s"
"04/11/2023","33","28","27","82%","4m, 34s"
"03/11/2023","47","41","35","88%","6m, 33s"
"02/11/2023","41","40","33","98%","19s"
"01/11/2023","31","30","24","97%","5m, 41s"
"31/10/2023","49","41","37","80%","35s, 125ms"
"30/10/2023","47","43","38","91%","3m, 30s"
"29/10/2023","24","23","20","96%","10s"
"28/10/2023","32","31","27","97%","20m, 52s"
"27/10/2023","39","38","31","97%","16m, 26s"
"26/10/2023","58","53","43","92%","1m, 22s"
"25/10/2023","51","44","35","84%","12m, 42s"
"24/10/2023","44","42","36","95%","12m, 53s"
"23/10/2023","67","57","47","84%","7m, 40s"
"22/10/2023","16","14","12","93%","3m, 43s"
"21/10/2023","33","30","21","93%","4m, 15s"
"20/10/2023","47","41","28","88%","13m, 41s"
"19/10/2023","37","32","26","84%","10m, 9s"
"18/10/2023","53","46","40","87%","3m, 16s"
"17/10/2023","48","41","39","88%","3m, 7s"
"16/10/2023","56","50","44","92%","9m, 4s"
"15/10/2023","33","30","26","93%","14m, 1s"
"14/10/2023","17","14","13","79%","1m, 10s"
"13/10/2023","30","30","29","100%",
"12/10/2023","47","41","37","90%","6m, 26s"
"11/10/2023","40","35","32","86%","4m, 22s"
"10/10/2023","37","32","30","84%","12m, 27s"
"09/10/2023","63","58","41","91%","8m, 14s"
"08/10/2023","15","15","12","100%",
"07/10/2023","39","32","26","78%","6m, 43s"
"06/10/2023","69","62","45","89%","6m, 4s"
"05/10/2023","47","43","30","91%","15m, 40s"
"04/10/2023","51","46","37","91%","12m, 25s"
"03/10/2023","49","41","36","88%","14m, 31s"
"02/10/2023","75","70","51","96%","48s, 250ms"
"01/10/2023","27","25","19","92%","13m, 31s"
"30/09/2023","44","39","29","90%","8m, 43s"
"29/09/2023","43","40","32","93%","9m, 27s"
"28/09/2023","58","56","39","96%","59s, 500ms"
"27/09/2023","50","50","39","100%",
"26/09/2023","46","43","36","95%","7m, 32s"
"25/09/2023","55","51","39","94%","7m, 2s"
"24/09/2023","18","16","15","88%","5m, 33s"
"23/09/2023","24","23","20","96%","5m, 29s"
"22/09/2023","48","44","34","91%","6m, 29s"
"21/09/2023","32","30","24","97%","23m, 13s"
"20/09/2023","73","65","54","89%","11m, 20s"
"19/09/2023","51","45","41","89%","11m, 45s"
"18/09/2023","62","56","45","93%","17m, 15s"
"17/09/2023","24","24","21","100%",
"16/09/2023","35","31","25","90%","15m, 44s"
"15/09/2023","70","64","53","94%","5m, 8s"
"14/09/2023","35","34","30","97%","28m, 13s"
"13/09/2023","60","58","48","97%","6m, 40s"
"12/09/2023","46","38","32","82%","2m, 55s"
"11/09/2023","50","45","38","91%","12m, 11s"
"10/09/2023","34","30","29","93%","9m, 29s"
"09/09/2023","37","31","27","90%","21m, 46s"
"08/09/2023","73","65","53","91%","8m, 18s"
"07/09/2023","54","44","36","80%","8m, 36s"
"06/09/2023","42","40","32","98%","47m, 58s"
"05/09/2023","41","34","30","82%","2m, 58s"
"04/09/2023","96","83","63","87%","7m, 32s"
"03/09/2023","25","23","20","96%","7m, 44s"
"02/09/2023","45","41","29","90%","3m, 12s"
"01/09/2023","55","44","38","82%","9m, 34s"
"31/08/2023","57","50","41","86%","8m, 29s"
"30/08/2023","48","40","36","85%","7m, 53s"
"29/08/2023","39","37","35","95%","4m, 17s"
"28/08/2023","43","39","35","92%","20m, 58s"
"27/08/2023","20","19","19","95%","4s"
"26/08/2023","21","21","20","100%",
"25/08/2023","40","39","33","97%","38s"
"24/08/2023","40","38","34","95%","1m, 6s"
"23/08/2023","57","53","47","94%","8m, 4s"
"22/08/2023","41","39","36","95%","2m, 14s"
"21/08/2023","72","64","57","89%","10m, 9s"
"20/08/2023","24","22","21","91%","3m, 17s"
"19/08/2023","25","24","21","96%","1m, 1s"
"18/08/2023","52","45","36","87%","3m, 29s"
"17/08/2023","47","43","37","91%","7m, 3s"
"16/08/2023","37","34","32","91%","4m, 45s"
"15/08/2023","36","34","26","97%","12m, 47s"
"14/08/2023","62","54","49","87%","3m, 20s"
"13/08/2023","14","12","11","83%","51s, 500ms"
"12/08/2023","25","23","18","96%","5m, 30s"
"11/08/2023","56","51","48","90%","2m, 45s"
"10/08/2023","62","57","48","93%","12m, 54s"
"09/08/2023","40","38","34","95%","1m, 17s"
"08/08/2023","37","35","31","94%","1m, 27s"
"07/08/2023","61","46","41","80%","8m, 31s"
"06/08/2023","23","22","19","95%","34s"
"05/08/2023","19","17","15","94%","9m, 31s"
"04/08/2023","48","45","36","93%","13m, 55s"
"03/08/2023","52","45","44","91%","7m, 56s"
"02/08/2023","63","57","52","91%","7m, 17s"
"01/08/2023","53","45","36","84%","10m, 55s"
"31/07/2023","67","62","49","94%","6m, 22s"
"30/07/2023","30","29","24","97%","1m, 14s"
"29/07/2023","38","36","33","94%","8m, 38s"
"28/07/2023","49","41","34","85%","11m, 26s"
"27/07/2023","44","38","31","87%","9m, 9s"
"26/07/2023","33","29","23","90%","13m, 5s"
"25/07/2023","49","43","37","93%","4m, 31s"
"24/07/2023","66","63","53","95%","6m, 3s"
"23/07/2023","24","23","20","96%","4m, 42s"
"22/07/2023","30","28","26","93%","44s, 500ms"
"21/07/2023","52","47","40","89%","1m, 53s"
"20/07/2023","34","33","30","97%","5m, 7s"
"19/07/2023","56","53","43","94%","6m, 35s"
"18/07/2023","44","39","32","87%","13m, 59s"
"17/07/2023","59","55","50","95%","19m, 39s"
"16/07/2023","32","27","26","81%","1m, 3s"
"15/07/2023","30","29","25","97%","19m, 59s"
"14/07/2023","52","44","36","84%","7m, 24s"
"13/07/2023","43","39","33","90%","11m, 49s"
"12/07/2023","42","39","34","92%","8m, 25s"
"11/07/2023","53","48","41","92%","34s, 250ms"
"10/07/2023","55","52","38","94%","10m, 45s"
"09/07/2023","19","19","18","100%",
"08/07/2023","38","32","25","91%","13m, 18s"
"07/07/2023","38","36","32","94%","16m, 13s"
"06/07/2023","48","46","40","96%","9m, 6s"
"05/07/2023","45","39","33","90%","13m, 44s"
"04/07/2023","40","30","26","77%","6m, 49s"
"03/07/2023","92","80","65","88%","6m, 48s"
"02/07/2023","39","35","30","91%","17m, 26s"
"01/07/2023","36","31","27","84%","5m, 6s"
"30/06/2023","74","64","50","84%","9m, 24s"
"29/06/2023","27","27","22","100%",
"28/06/2023","41","37","35","89%","1m, 15s"
"27/06/2023","35","33","29","94%","3m, 53s"
"26/06/2023","48","45","37","93%","26s, 333ms"
"25/06/2023","10","9","9","89%","53s"
"24/06/2023","28","26","23","92%","7m, 15s"
"23/06/2023","54","48","42","90%","4m, 50s"
"22/06/2023","32","29","28","90%","2m, 57s"
"21/06/2023","45","40","35","88%","2m, 22s"
"20/06/2023","35","30","27","83%","8m"
"19/06/2023","83","68","55","81%","5m, 42s"
"18/06/2023","37","32","27","91%","12m, 54s"
"17/06/2023","20","19","16","95%","29s"
"16/06/2023","44","41","37","93%","11m, 23s"
"15/06/2023","49","45","33","96%","4m, 18s"
"14/06/2023","43","38","32","89%","2m, 18s"
"13/06/2023","46","45","38","98%","1m, 35s"
"12/06/2023","60","54","40","91%","11m, 5s"
"11/06/2023","16","16","14","100%",
"10/06/2023","19","16","16","81%","12m, 30s"
"09/06/2023","44","42","33","95%","17m"
"08/06/2023","24","24","23","100%",
"07/06/2023","39","36","34","92%","2m, 14s"
"06/06/2023","28","26","23","92%","31s"
"05/06/2023","65","55","49","85%","5m, 51s"
"04/06/2023","28","25","20","88%","16m, 46s"
"03/06/2023","40","33","27","82%","6m, 9s"
"02/06/2023","37","34","26","94%","4m, 37s"
"01/06/2023","51","44","41","89%","7m, 12s"
"31/05/2023","42","38","32","92%","16m, 28s"
"30/05/2023","46","44","39","95%","2m, 32s"
"29/05/2023","59","57","45","96%","16m, 6s"
"28/05/2023","19","18","18","94%","1m, 6s"
"27/05/2023","45","42","35","95%","39s, 667ms"
"26/05/2023","40","36","31","89%","6m, 2s"
"25/05/2023","43","40","33","93%","17m, 26s"
"24/05/2023","57","51","41","92%","11m, 24s"
"23/05/2023","41","37","31","89%","5m, 47s"
"22/05/2023","79","68","61","85%","6m, 24s"
"21/05/2023","23","20","17","90%","7m, 48s"
"20/05/2023","41","37","29","89%","8m, 45s"
"19/05/2023","49","44","37","91%","15m, 16s"
"18/05/2023","75","66","52","89%","8m, 33s"
"17/05/2023","65","55","47","84%","8m, 39s"
"16/05/2023","65","58","48","90%","4m, 39s"
"15/05/2023","84","74","57","91%","21m, 14s"
"14/05/2023","23","23","18","100%",
"13/05/2023","39","33","32","88%","3m, 41s"
"12/05/2023","71","61","50","90%","6m, 50s"
"11/05/2023","59","51","40","88%","18m, 31s"
"10/05/2023","61","50","42","82%","7m, 9s"
"09/05/2023","47","44","38","93%","10m, 54s"
"08/05/2023","65","59","45","92%","8m, 9s"
"07/05/2023","27","26","23","96%","11m, 45s"
"06/05/2023","32","29","25","93%","11m, 57s"
"05/05/2023","44","42","34","98%","1m, 5s"
"04/05/2023","61","57","47","93%","6m, 1s"
"03/05/2023","80","71","56","87%","9m, 1s"
"02/05/2023","81","74","65","91%","7m, 23s"
"01/05/2023","63","56","46","89%","9m, 31s"
"30/04/2023","29","28","24","96%","4m, 21s"
"29/04/2023","31","27","27","85%","2m, 31s"
"28/04/2023","68","62","50","90%","7m, 39s"
"27/04/2023","61","53","42","91%","7m, 21s"
"26/04/2023","54","44","36","82%","13m, 35s"
"25/04/2023","51","45","41","91%","3m, 15s"
"24/04/2023","62","55","47","91%","3m, 46s"
"23/04/2023","23","22","22","95%","3m, 9s"
"22/04/2023","48","43","40","88%","5m, 44s"
"21/04/2023","65","56","45","88%","4m, 1s"
"20/04/2023","55","45","41","80%","4m, 16s"
"19/04/2023","63","59","51","95%","19m, 37s"
"18/04/2023","48","46","38","96%","2m, 27s"
"17/04/2023","70","60","50","87%","6m, 5s"
"16/04/2023","39","35","32","89%","5m, 36s"
"15/04/2023","37","32","31","88%","5m, 34s"
"14/04/2023","71","62","52","87%","5m, 23s"
"13/04/2023","58","47","41","83%","4m, 41s"
"12/04/2023","84","73","55","88%","8m, 35s"
"11/04/2023","57","52","45","92%","3m, 51s"
"10/04/2023","97","81","68","86%","8m, 37s"
"09/04/2023","48","43","38","93%","2m, 50s"
"08/04/2023","67","57","49","86%","9m, 20s"
"07/04/2023","64","56","51","86%","1m, 23s"
"06/04/2023","97","79","64","81%","7m, 58s"
"05/04/2023","95","76","59","84%","5m, 12s"
"04/04/2023","58","50","46","88%","10m, 23s"
"03/04/2023","91","75","60","83%","8m, 28s"
"02/04/2023","32","29","26","90%","49s, 333ms"
"01/04/2023","49","44","37","89%","10m, 55s"
"31/03/2023","59","53","46","91%","7m, 1s"
"30/03/2023","68","63","53","92%","12m, 46s"
"29/03/2023","68","58","48","90%","1m, 38s"
"28/03/2023","73","62","52","87%","8m, 47s"
"27/03/2023","113","93","75","85%","11m, 12s"
"26/03/2023","38","33","27","85%","53s, 800ms"
"25/03/2023","65","54","48","81%","3m, 4s"
"24/03/2023","98","83","58","89%","5m, 35s"
"23/03/2023","52","48","39","92%","3m, 13s"
"22/03/2023","57","50","45","90%","9m, 24s"
"21/03/2023","73","66","58","95%","11m, 59s"
"20/03/2023","103","91","69","90%","2m, 47s"
"19/03/2023","38","32","26","84%","5m, 42s"
"18/03/2023","38","33","30","91%","12m, 41s"
"17/03/2023","81","72","63","92%","6m, 22s"
"16/03/2023","90","84","68","94%","10m, 57s"
"15/03/2023","127","100","84","82%","9m, 1s"
"14/03/2023","80","71","65","92%","6m, 46s"
"13/03/2023","125","102","79","84%","6m, 17s"
"12/03/2023","57","51","46","90%","1m, 53s"
"11/03/2023","65","59","50","92%","3m, 57s"
"10/03/2023","85","76","53","92%","6m, 21s"
"09/03/2023","49","43","42","88%","13m, 39s"
"08/03/2023","69","59","53","85%","7m, 42s"
"07/03/2023","71","63","54","92%","1m, 51s"
"06/03/2023","104","98","87","95%","3m, 13s"
"05/03/2023","31","27","26","85%","4m, 31s"
"04/03/2023","38","32","28","84%","5m, 10s"
"03/03/2023","79","72","54","90%","10m, 4s"
"02/03/2023","49","48","43","98%","9s"
"01/03/2023","72","65","51","92%","1m, 33s"
"28/02/2023","90","69","57","84%","5m, 58s"
"27/02/2023","84","73","58","89%","11m, 58s"
"26/02/2023","44","39","36","90%","48s, 400ms"
"25/02/2023","65","53","42","89%","8m, 10s"
"24/02/2023","86","75","59","89%","2m, 51s"
"23/02/2023","75","66","56","88%","3m, 42s"
"22/02/2023","81","73","67","90%","2m, 16s"
"21/02/2023","76","67","56","87%","6m, 51s"
"20/02/2023","92","78","68","87%","8m, 35s"
"19/02/2023","29","28","25","96%","4s"
"18/02/2023","46","40","37","93%","1m, 39s"
"17/02/2023","91","85","70","95%","5m, 22s"
"16/02/2023","44","40","37","93%","2m, 17s"
"15/02/2023","87","70","61","84%","2m, 28s"
"14/02/2023","81","68","58","85%","2m, 57s"
"13/02/2023","115","100","81","88%","6m, 30s"
