"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"12/02/2024","64","56","49","88%","14m, 33s"
"11/02/2024","22","21","21","95%","58s"
"10/02/2024","14","14","12","100%",
"09/02/2024","26","25","24","96%","14m, 13s"
"08/02/2024","42","40","33","95%","7m, 46s"
"07/02/2024","48","42","34","88%","11m, 9s"
"06/02/2024","59","53","47","89%","2m, 34s"
"05/02/2024","93","87","67","93%","7m, 4s"
"04/02/2024","25","23","21","91%","3m, 37s"
"03/02/2024","31","29","24","97%","4m, 31s"
"02/02/2024","60","55","47","91%","5m, 13s"
"01/02/2024","59","53","46","91%","9m, 43s"
"31/01/2024","71","65","48","92%","8m, 31s"
"30/01/2024","52","49","40","94%","20m, 14s"
"29/01/2024","91","81","59","89%","6m, 27s"
"28/01/2024","43","39","33","90%","3m, 41s"
"27/01/2024","30","28","26","93%","11m, 58s"
"26/01/2024","71","65","55","92%","2m, 16s"
"25/01/2024","47","44","36","93%","2m, 20s"
"24/01/2024","40","36","29","89%","1m, 13s"
"23/01/2024","43","39","37","92%","12m, 40s"
"22/01/2024","81","71","53","89%","9m, 39s"
"21/01/2024","41","33","30","85%","7m, 15s"
"20/01/2024","24","20","17","85%","14m, 26s"
"19/01/2024","47","45","36","96%","3m, 10s"
"18/01/2024","59","53","43","89%","10m, 53s"
"17/01/2024","94","76","62","84%","7m, 16s"
"16/01/2024","57","54","49","96%","11m, 58s"
"15/01/2024","66","60","51","90%","12m, 21s"
"14/01/2024","45","41","33","93%","13m, 36s"
"13/01/2024","44","42","36","95%","57s"
"12/01/2024","55","50","44","90%","6m, 50s"
"11/01/2024","50","48","39","96%","3m, 33s"
"10/01/2024","55","49","44","90%","10m, 50s"
"09/01/2024","50","44","40","89%","7m, 25s"
"08/01/2024","76","71","60","94%","16m, 42s"
"07/01/2024","25","24","23","96%","18m, 49s"
"06/01/2024","33","31","27","97%","3m, 59s"
"05/01/2024","45","42","36","93%","3m, 36s"
"04/01/2024","47","42","35","88%","4m, 7s"
"03/01/2024","52","47","42","91%","10m, 3s"
"02/01/2024","68","61","55","90%","4m, 56s"
"01/01/2024","40","36","29","92%","11m, 29s"
"31/12/2023","29","26","22","88%","2m, 36s"
"30/12/2023","39","35","30","91%","6m, 46s"
"29/12/2023","49","44","36","91%","10m, 44s"
"28/12/2023","40","38","34","95%","6m, 40s"
"27/12/2023","47","43","37","93%","4m, 52s"
"26/12/2023","62","55","49","87%","2m, 35s"
"25/12/2023","41","34","31","82%","15m, 14s"
"24/12/2023","26","17","17","82%","1m, 14s"
"23/12/2023","38","36","29","94%","18s"
"22/12/2023","66","63","52","95%","11m, 1s"
"21/12/2023","45","44","36","98%","11s"
"20/12/2023","71","66","52","94%","8m, 53s"
"19/12/2023","56","50","39","92%","8m, 58s"
"18/12/2023","33","29","25","90%","2m, 31s"
"17/12/2023","20","17","16","82%","4m, 2s"
"16/12/2023","36","33","22","91%","1m, 14s"
"15/12/2023","37","32","28","91%","15m, 49s"
"14/12/2023","48","41","37","83%","12m, 32s"
"13/12/2023","37","31","28","81%","59s, 667ms"
"12/12/2023","46","38","33","87%","12m, 22s"
"11/12/2023","58","51","44","88%","3m, 15s"
"10/12/2023","16","16","14","100%",
"09/12/2023","23","20","19","85%","1m, 46s"
"08/12/2023","48","45","34","93%","10m, 26s"
"07/12/2023","44","39","34","90%","3m, 56s"
"06/12/2023","40","37","32","95%","14m"
"05/12/2023","33","33","29","100%",
"04/12/2023","65","57","40","89%","19m, 44s"
"03/12/2023","21","19","16","89%","4m, 47s"
"02/12/2023","32","30","25","93%","21m, 21s"
"01/12/2023","58","52","38","88%","12m, 14s"
"30/11/2023","37","33","29","91%","10m, 55s"
"29/11/2023","57","54","42","94%","27s, 667ms"
"28/11/2023","68","62","53","92%","17m, 7s"
"27/11/2023","75","62","53","85%","8m, 59s"
"26/11/2023","21","19","19","95%","2m, 50s"
"25/11/2023","33","32","26","97%","7m, 57s"
"24/11/2023","34","28","25","82%","3m, 46s"
"23/11/2023","42","40","32","95%","4m, 41s"
"22/11/2023","60","53","45","89%","11m, 18s"
