"Session day","Session hour","Avg. sessions by day"
"Saturday","2","1"
"Saturday","7","1"
"Saturday","12","1"
"Saturday","16","1"
"Saturday","6","1"
"Saturday","4","1"
"Saturday","0","1"
"Saturday","23","1"
"Saturday","13","1"
"Saturday","21","1"
"Saturday","5","1"
"Saturday","9","2"
"Saturday","3","1"
"Saturday","10","2"
"Saturday","11","2"
"Saturday","22","1"
"Saturday","18","1"
"Saturday","20","1"
"Saturday","14","1"
"Saturday","8","2"
"Saturday","19","1"
"Saturday","15","1"
"Saturday","1","1"
"Saturday","17","1"
"Friday","8","2"
"Friday","13","2"
"Friday","15","2"
"Friday","3","1"
"Friday","21","1"
"Friday","1","1"
"Friday","12","2"
"Friday","10","2"
"Friday","18","2"
"Friday","14","2"
"Friday","22","1"
"Friday","11","2"
"Friday","5","1"
"Friday","23","1"
"Friday","9","3"
"Friday","0","1"
"Friday","2","1"
"Friday","20","1"
"Friday","7","2"
"Friday","19","2"
"Friday","16","2"
"Friday","17","1"
"Friday","4","1"
"Friday","6","1"
"Thursday","23","1"
"Thursday","17","1"
"Thursday","10","2"
"Thursday","12","2"
"Thursday","1","1"
"Thursday","5","1"
"Thursday","6","1"
"Thursday","22","1"
"Thursday","20","1"
"Thursday","19","1"
"Thursday","18","1"
"Thursday","9","3"
"Thursday","21","1"
"Thursday","13","2"
"Thursday","2","1"
"Thursday","11","2"
"Thursday","4","1"
"Thursday","8","2"
"Thursday","14","2"
"Thursday","7","1"
"Thursday","0","1"
"Thursday","15","2"
"Thursday","16","1"
"Thursday","3","1"
"Wednesday","14","2"
"Wednesday","10","2"
"Wednesday","15","2"
"Wednesday","1","1"
"Wednesday","5","1"
"Wednesday","21","1"
"Wednesday","3","1"
"Wednesday","16","2"
"Wednesday","22","1"
"Wednesday","8","2"
"Wednesday","11","2"
"Wednesday","19","1"
"Wednesday","13","2"
"Wednesday","18","2"
"Wednesday","6","1"
"Wednesday","2","1"
"Wednesday","9","3"
"Wednesday","7","1"
"Wednesday","17","2"
"Wednesday","23","1"
"Wednesday","4","1"
"Wednesday","0","1"
"Wednesday","12","2"
"Wednesday","20","1"
"Tuesday","7","2"
"Tuesday","19","2"
"Tuesday","21","1"
"Tuesday","1","1"
"Tuesday","0","1"
"Tuesday","23","1"
"Tuesday","20","1"
"Tuesday","13","2"
"Tuesday","17","2"
"Tuesday","6","1"
"Tuesday","3","1"
"Tuesday","22","1"
"Tuesday","5","1"
"Tuesday","2","1"
"Tuesday","18","2"
"Tuesday","15","2"
"Tuesday","14","2"
"Tuesday","16","2"
"Tuesday","12","2"
"Tuesday","8","2"
"Tuesday","10","2"
"Tuesday","4","1"
"Tuesday","11","2"
"Tuesday","9","3"
"Monday","8","3"
"Monday","10","3"
"Monday","3","1"
"Monday","5","1"
"Monday","13","3"
"Monday","16","2"
"Monday","18","3"
"Monday","9","3"
"Monday","0","1"
"Monday","19","2"
"Monday","12","3"
"Monday","14","2"
"Monday","23","1"
"Monday","17","3"
"Monday","7","2"
"Monday","22","1"
"Monday","21","1"
"Monday","15","2"
"Monday","6","1"
"Monday","2","1"
"Monday","20","2"
"Monday","4","1"
"Monday","1","1"
"Monday","11","2"
"Sunday","14","1"
"Sunday","23","1"
"Sunday","16","1"
"Sunday","19","1"
"Sunday","5","1"
"Sunday","2","1"
"Sunday","3","1"
"Sunday","1","1"
"Sunday","8","1"
"Sunday","9","1"
"Sunday","4","1"
"Sunday","18","1"
"Sunday","17","1"
"Sunday","13","1"
"Sunday","20","1"
"Sunday","10","1"
"Sunday","22","1"
"Sunday","0","1"
"Sunday","21","1"
"Sunday","7","1"
"Sunday","6","1"
"Sunday","11","1"
"Sunday","15","1"
"Sunday","12","1"
