"Session day","Session hour","Avg. sessions by day"
"Saturday","21","1"
"Saturday","23","1"
"Saturday","9","5"
"Saturday","17","1"
"Saturday","14","2"
"Saturday","18","2"
"Saturday","15","2"
"Saturday","2","1"
"Saturday","13","2"
"Saturday","8","4"
"Saturday","19","1"
"Saturday","0","1"
"Saturday","7","2"
"Saturday","12","2"
"Saturday","3","1"
"Saturday","10","4"
"Saturday","11","3"
"Saturday","16","2"
"Saturday","4","1"
"Saturday","22","1"
"Saturday","20","2"
"Saturday","5","1"
"Saturday","6","1"
"Saturday","1","1"
"Friday","22","2"
"Friday","20","2"
"Friday","7","3"
"Friday","21","2"
"Friday","2","1"
"Friday","12","4"
"Friday","13","3"
"Friday","15","4"
"Friday","17","3"
"Friday","0","1"
"Friday","16","3"
"Friday","4","1"
"Friday","3","1"
"Friday","18","4"
"Friday","1","1"
"Friday","14","4"
"Friday","8","5"
"Friday","6","1"
"Friday","5","1"
"Friday","9","5"
"Friday","19","3"
"Friday","10","4"
"Friday","23","1"
"Friday","11","4"
"Thursday","7","2"
"Thursday","11","3"
"Thursday","2","1"
"Thursday","4","1"
"Thursday","14","3"
"Thursday","10","4"
"Thursday","0","1"
"Thursday","15","3"
"Thursday","1","1"
"Thursday","18","2"
"Thursday","21","2"
"Thursday","23","1"
"Thursday","8","4"
"Thursday","3","1"
"Thursday","12","3"
"Thursday","22","2"
"Thursday","17","3"
"Thursday","5","1"
"Thursday","13","3"
"Thursday","6","1"
"Thursday","9","5"
"Thursday","20","2"
"Thursday","19","2"
"Thursday","16","3"
"Wednesday","2","1"
"Wednesday","22","2"
"Wednesday","23","1"
"Wednesday","18","2"
"Wednesday","14","4"
"Wednesday","6","1"
"Wednesday","8","4"
"Wednesday","20","2"
"Wednesday","0","1"
"Wednesday","19","2"
"Wednesday","5","1"
"Wednesday","9","5"
"Wednesday","12","3"
"Wednesday","17","3"
"Wednesday","7","3"
"Wednesday","4","1"
"Wednesday","16","3"
"Wednesday","3","1"
"Wednesday","15","4"
"Wednesday","10","4"
"Wednesday","1","1"
"Wednesday","21","2"
"Wednesday","11","4"
"Wednesday","13","3"
"Tuesday","2","1"
"Tuesday","19","2"
"Tuesday","6","2"
"Tuesday","5","1"
"Tuesday","13","3"
"Tuesday","21","2"
"Tuesday","0","1"
"Tuesday","14","3"
"Tuesday","23","2"
"Tuesday","17","3"
"Tuesday","1","1"
"Tuesday","7","3"
"Tuesday","3","1"
"Tuesday","4","1"
"Tuesday","12","3"
"Tuesday","11","4"
"Tuesday","18","3"
"Tuesday","16","3"
"Tuesday","15","3"
"Tuesday","9","6"
"Tuesday","22","2"
"Tuesday","20","2"
"Tuesday","8","4"
"Tuesday","10","4"
"Monday","22","2"
"Monday","15","4"
"Monday","4","1"
"Monday","19","4"
"Monday","14","5"
"Monday","5","1"
"Monday","17","4"
"Monday","21","2"
"Monday","18","4"
"Monday","9","8"
"Monday","12","4"
"Monday","11","5"
"Monday","13","4"
"Monday","0","1"
"Monday","8","6"
"Monday","10","6"
"Monday","3","1"
"Monday","7","3"
"Monday","2","1"
"Monday","6","1"
"Monday","1","1"
"Monday","20","3"
"Monday","16","4"
"Monday","23","2"
"Sunday","0","1"
"Sunday","21","2"
"Sunday","7","2"
"Sunday","22","2"
"Sunday","18","2"
"Sunday","17","2"
"Sunday","16","1"
"Sunday","14","2"
"Sunday","23","1"
"Sunday","19","2"
"Sunday","4","1"
"Sunday","6","1"
"Sunday","5","1"
"Sunday","9","2"
"Sunday","1","1"
"Sunday","3","1"
"Sunday","13","2"
"Sunday","2","1"
"Sunday","8","2"
"Sunday","12","2"
"Sunday","20","1"
"Sunday","11","2"
"Sunday","15","1"
"Sunday","10","2"
